Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,6.67,6.689,6.544,6.6,5.095386,110561068
05/01/2016,6.872,6.876,6.59,6.644,5.129355,252932297
06/01/2016,6.619,6.624,6.439,6.502,5.019728,177932162
07/01/2016,6.35,6.445,6.286,6.419,4.955648,102025798
08/01/2016,6.451,6.485,6.253,6.274,4.843705,37018821
11/01/2016,6.2,6.38,6.2,6.263,4.835213,109751428
12/01/2016,6.22,6.341,6.126,6.207,4.853981,166598354
13/01/2016,6.264,6.355,6.151,6.208,4.854764,149124118
14/01/2016,6.197,6.2,6.036,6.14,4.801585,66396293
15/01/2016,6.11,6.134,5.866,5.905,4.617811,92903825
18/01/2016,5.889,5.962,5.795,5.814,4.546648,109895173
19/01/2016,5.93,5.97,5.814,5.827,4.556814,144967242
20/01/2016,5.715,5.721,5.546,5.61,4.387117,115997510
21/01/2016,5.617,5.815,5.575,5.763,4.506764,76638959
22/01/2016,5.913,6.027,5.826,5.959,4.660041,90011250
25/01/2016,6.014,6.024,5.732,5.77,4.512239,54691252
26/01/2016,5.656,5.911,5.625,5.911,4.622503,96507236
27/01/2016,5.891,5.922,5.807,5.913,4.624068,22312481
28/01/2016,5.879,5.985,5.67,5.71,4.465319,42808993
29/01/2016,5.812,5.909,5.75,5.896,4.610773,33691014
01/02/2016,5.928,5.96,5.754,5.801,4.536482,30520313
02/02/2016,5.771,5.79,5.53,5.597,4.37695,38293991
03/02/2016,5.602,5.65,5.312,5.476,4.282326,52514858
04/02/2016,5.564,5.79,5.434,5.768,4.510675,44621999
05/02/2016,5.759,5.94,5.67,5.903,4.616248,43884957
08/02/2016,5.989,5.989,5.535,5.572,4.357399,32339627
09/02/2016,5.572,5.719,5.277,5.312,4.154075,53582791
10/02/2016,5.41,5.74,5.372,5.644,4.413705,50476539
11/02/2016,5.554,5.554,5.241,5.241,4.098552,59329543
12/02/2016,5.326,5.502,5.26,5.502,4.302659,54745447
15/02/2016,5.717,5.737,5.56,5.662,4.427782,54118188
16/02/2016,5.74,5.74,5.525,5.612,4.38868,42865397
17/02/2016,5.648,5.853,5.602,5.84,4.56698,37640376
18/02/2016,5.9,5.929,5.614,5.656,4.423089,45598481
19/02/2016,5.635,5.725,5.441,5.539,4.331593,38976404
22/02/2016,5.603,5.758,5.58,5.756,4.501291,29450829
23/02/2016,5.704,5.87,5.587,5.596,4.376168,31358887
24/02/2016,5.574,5.593,5.303,5.342,4.177536,45416645
25/02/2016,5.44,5.539,5.395,5.46,4.269814,36113966
26/02/2016,5.53,5.798,5.515,5.768,4.510675,43321493
29/02/2016,5.679,5.855,5.603,5.855,4.578711,36082156
01/03/2016,5.831,5.933,5.778,5.925,4.633451,26499586
02/03/2016,5.99,6.229,5.97,6.187,4.83834,39169123
03/03/2016,6.21,6.26,6.119,6.223,4.866493,47607243
04/03/2016,6.264,6.319,6.144,6.235,4.875877,31364028
07/03/2016,6.218,6.268,6.02,6.17,4.825046,33256740
08/03/2016,6.076,6.25,6.022,6.096,4.767177,59758100
09/03/2016,6.09,6.17,6.007,6.053,4.733549,28808344
