Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,30.799999,31.17,30.51,31.059999,21.917467,7582300
05/01/2016,30.92,30.99,30.379999,30.93,21.825737,7234400
06/01/2016,29.93,30.41,29.93,30.299999,21.381178,10055100
07/01/2016,29.07,29.82,29,29.43,20.767265,15156000
08/01/2016,29.41,29.450001,28.84,28.91,20.400324,13901300
11/01/2016,29.559999,29.57,28.52,28.84,20.350933,7460100
12/01/2016,29.129999,29.190001,28,28.65,20.216856,10629700
13/01/2016,29.280001,29.84,28.559999,28.77,20.301538,16911600
14/01/2016,29.83,30.99,29.440001,30.83,21.755173,14730000
15/01/2016,29.290001,29.73,28.84,29.16,20.576736,11710500
19/01/2016,29.59,29.700001,28.52,28.92,20.407381,9346600
20/01/2016,28.530001,28.82,27.559999,28.459999,20.082785,15078500
21/01/2016,28.51,29.620001,28.32,29.459999,20.788433,9915800
22/01/2016,30.610001,30.879999,30.059999,30.35,21.416462,14915500
25/01/2016,29.77,30.17,29.450001,29.469999,20.795488,8018500
26/01/2016,30.32,30.9,30.120001,30.74,21.691662,9619400
27/01/2016,30.33,31.290001,30.16,30.68,21.649324,9700000
28/01/2016,32.07,32.110001,31.290001,31.889999,22.503162,11300600
29/01/2016,31.77,32.380001,31.540001,32.369999,22.841873,8816600
01/02/2016,31.18,31.889999,30.9,31.700001,22.369089,9466800
02/02/2016,29.030001,29.360001,28.620001,29.02,20.477947,21364300
03/02/2016,29.280001,29.809999,28.440001,29.66,20.929564,14324800
04/02/2016,30.26,31.040001,30.18,30.610001,21.599928,11294000
05/02/2016,30.49,30.809999,30.24,30.459999,21.494083,6792300
08/02/2016,29.639999,30.07,29.309999,29.92,21.113033,8816900
09/02/2016,29.280001,29.5,28.75,28.950001,20.428551,9475200
10/02/2016,28.040001,28.610001,27.85,28.040001,20.205168,9816100
11/02/2016,27.309999,27.85,27.01,27.639999,19.916939,15046700
12/02/2016,28.290001,29.059999,28.08,29.02,20.911343,10848200
16/02/2016,29.360001,29.389999,28.84,29.059999,20.940166,8926600
17/02/2016,29.23,30.23,29.23,29.950001,21.581488,10400300
18/02/2016,30.18,30.209999,29.610001,29.780001,21.458986,9287600
19/02/2016,29.549999,29.75,29.309999,29.75,21.437366,5213900
22/02/2016,30.16,30.49,30.1,30.299999,21.833691,6082100
23/02/2016,29.620001,29.879999,28.950001,29,20.896935,7470300
24/02/2016,28.200001,28.559999,28.01,28.540001,20.565466,11265400
25/02/2016,28.83,28.91,28.120001,28.66,20.65193,11319300
26/02/2016,29.139999,29.299999,28.91,29,20.896935,6173100
29/02/2016,29.24,29.440001,29.01,29.09,20.961781,5406000
01/03/2016,29.450001,29.639999,29.1,29.629999,21.350901,5640300
02/03/2016,29.43,30.209999,29.34,30.209999,21.768839,7769600
03/03/2016,30.459999,30.98,30.200001,30.870001,22.244419,8917700
04/03/2016,30.950001,31.450001,30.83,31.15,22.44619,8879600
07/03/2016,30.549999,31.700001,30.540001,31.5,22.698389,9162400
