Date,Open,High,Low,Close,Adj Close,Volume
01/01/2016,1.38997,1.38997,1.38322,1.38997,1.38997,0
04/01/2016,1.38737,1.394,1.3848,1.38645,1.38645,0
05/01/2016,1.39363,1.39817,1.3896,1.39343,1.39343,0
06/01/2016,1.39874,1.41079,1.3979,1.3984,1.3984,0
07/01/2016,1.4066,1.41689,1.4052,1.40676,1.40676,0
08/01/2016,1.41033,1.41492,1.40613,1.4102,1.4102,0
11/01/2016,1.4181,1.419,1.4067,1.4184,1.4184,0
12/01/2016,1.4222,1.42774,1.41778,1.4222,1.4222,0
13/01/2016,1.4256,1.42789,1.4187,1.4255,1.4255,0
14/01/2016,1.43511,1.4394,1.43366,1.4351,1.4351,0
15/01/2016,1.4343,1.4546,1.4342,1.43446,1.43446,0
18/01/2016,1.45803,1.45803,1.4487,1.4578,1.4578,0
19/01/2016,1.45441,1.4551,1.4431,1.45445,1.45445,0
20/01/2016,1.45669,1.46873,1.44937,1.45632,1.45632,0
21/01/2016,1.4471,1.45372,1.43355,1.4475,1.4475,0
22/01/2016,1.427,1.4297,1.41172,1.42708,1.42708,0
25/01/2016,1.4144,1.42338,1.4125,1.41406,1.41406,0
26/01/2016,1.42987,1.4324,1.40772,1.4296,1.4296,0
27/01/2016,1.41194,1.4155,1.4044,1.4118,1.4118,0
28/01/2016,1.40977,1.41223,1.39481,1.40948,1.40948,0
29/01/2016,1.4035,1.40836,1.39706,1.40343,1.40343,0
01/02/2016,1.39732,1.40611,1.39732,1.39728,1.39728,0
02/02/2016,1.3952,1.40791,1.395,1.395,1.395,0
03/02/2016,1.40671,1.40991,1.3839,1.406,1.406,0
04/02/2016,1.3793,1.3793,1.36403,1.37942,1.37942,0
05/02/2016,1.3756,1.38437,1.37099,1.37552,1.37552,0
08/02/2016,1.3885,1.39772,1.3841,1.3883,1.3883,0
09/02/2016,1.3927,1.3959,1.37905,1.3925,1.3925,0
10/02/2016,1.3882,1.39525,1.38227,1.38832,1.38832,0
11/02/2016,1.39227,1.40094,1.38827,1.3923,1.3923,0
12/02/2016,1.39181,1.39629,1.3884,1.39163,1.39163,0
15/02/2016,1.3837,1.38516,1.3797,1.38368,1.38368,0
16/02/2016,1.38218,1.39083,1.37208,1.38219,1.38219,0
17/02/2016,1.386,1.38937,1.37008,1.38652,1.38652,0
18/02/2016,1.36792,1.37076,1.3652,1.36774,1.36774,0
19/02/2016,1.37365,1.38439,1.3734,1.37379,1.37379,0
22/02/2016,1.37891,1.37891,1.36623,1.3789,1.3789,0
23/02/2016,1.37029,1.37989,1.3693,1.3703,1.3703,0
24/02/2016,1.37958,1.38586,1.3771,1.3797,1.3797,0
25/02/2016,1.37029,1.37325,1.35783,1.3703,1.3703,0
26/02/2016,1.3542,1.3562,1.3506,1.3544,1.3544,0
29/02/2016,1.35501,1.35852,1.3483,1.3547,1.3547,0
01/03/2016,1.35375,1.35495,1.3441,1.35374,1.35374,0
02/03/2016,1.3426,1.34981,1.3411,1.3427,1.3427,0
03/03/2016,1.34288,1.34726,1.33786,1.3429,1.3429,0
04/03/2016,1.34074,1.347,1.33658,1.3406,1.3406,0
07/03/2016,1.3335,1.33764,1.32971,1.333,1.333,0
08/03/2016,1.3291,1.34073,1.3288,1.3293,1.3293,0
09/03/2016,1.3417,1.3446,1.32927,1.3417,1.3417,0
10/03/2016,1.3247,1.33192,1.324,1.32477,1.32477,0
11/03/2016,1.33371,1.3341,1.3171,1.33378,1.33378,0
14/03/2016,1.32366,1.3305,1.321,1.32357,1.32357,0
15/03/2016,1.32751,1.3398,1.3269,1.32728,1.32728,0
16/03/2016,1.3354,1.34039,1.33426,1.3354,1.3354,0
17/03/2016,1.31178,1.3121,1.29462,1.3116,1.3116,0
18/03/2016,1.29886,1.30321,1.29309,1.2984,1.2984,0
21/03/2016,1.30473,1.30909,1.3021,1.3046,1.3046,0
22/03/2016,1.3092,1.31366,1.30315,1.3092,1.3092,0
23/03/2016,1.3048,1.32105,1.3037,1.30501,1.30501,0
24/03/2016,1.32075,1.32957,1.3207,1.321,1.321,0
25/03/2016,1.324,1.32683,1.3224,1.32508,1.32508,0
