Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,9.35,9.414,9.23,9.358,8.322138,8688626
05/01/2016,9.495,9.495,9.245,9.368,8.331031,5963885
06/01/2016,9.313,9.321,9.086,9.181,8.164731,6491938
07/01/2016,8.966,8.978,8.733,8.88,7.897049,11122500
08/01/2016,8.949,9.006,8.683,8.683,7.721856,8540342
11/01/2016,8.677,8.908,8.676,8.676,7.715631,6593188
12/01/2016,8.677,8.798,8.59,8.665,7.705848,8715704
13/01/2016,8.81,8.835,8.557,8.626,7.671165,7960092
14/01/2016,8.526,8.541,8.264,8.369,7.442614,11280487
15/01/2016,8.335,8.375,8.011,8.059,7.166928,9644080
18/01/2016,8.02,8.1,7.843,7.899,7.024639,8520947
19/01/2016,8.125,8.184,7.893,7.912,7.0362,8817653
20/01/2016,7.73,7.74,7.427,7.478,6.650241,14657697
21/01/2016,7.48,7.755,7.423,7.559,6.722274,16355172
22/01/2016,7.77,7.902,7.69,7.8,6.936597,12004689
25/01/2016,7.917,7.917,7.486,7.519,6.686702,9589366
26/01/2016,7.412,7.735,7.335,7.717,6.862785,11505434
27/01/2016,7.75,7.768,7.556,7.613,6.770297,7181573
28/01/2016,7.56,7.709,7.36,7.398,6.579096,10039348
29/01/2016,7.51,7.612,7.407,7.467,6.640458,9885663
01/02/2016,7.516,7.619,7.387,7.464,6.63779,8117162
02/02/2016,7.41,7.41,7.073,7.117,6.3292,10201376
03/02/2016,7.095,7.144,6.815,6.911,6.146003,13332652
04/02/2016,7.06,7.177,6.868,7.126,6.337204,12488463
05/02/2016,7.14,7.438,7.025,7.295,6.487497,13874326
08/02/2016,7.358,7.36,6.555,6.603,5.872097,19615735
09/02/2016,6.63,6.719,6.213,6.316,5.616866,22421545
10/02/2016,6.418,6.928,6.4,6.835,6.078416,19033086
11/02/2016,6.69,6.69,6.358,6.386,5.679117,16070981
12/02/2016,7.05,7.539,6.97,7.537,6.70271,36378786
15/02/2016,8.25,8.27,7.422,7.516,6.684034,25617686
16/02/2016,7.583,7.584,7.116,7.354,6.539966,16183649
17/02/2016,7.333,7.528,7.233,7.495,6.665359,11798763
18/02/2016,7.545,7.551,7.362,7.412,6.591546,13584842
19/02/2016,7.4,7.511,7.151,7.274,6.468822,12270025
22/02/2016,7.334,7.482,7.296,7.47,6.643126,10502133
23/02/2016,7.416,7.671,7.321,7.324,6.513287,11842554
24/02/2016,7.322,7.377,7.021,7.054,6.273174,10927570
25/02/2016,7.179,7.312,7.12,7.217,6.418131,8496044
26/02/2016,7.318,7.437,7.261,7.426,6.603996,9104276
29/02/2016,7.35,7.511,7.25,7.499,6.668916,9734977
01/03/2016,7.481,7.638,7.445,7.624,6.780079,11737652
02/03/2016,7.7,7.958,7.673,7.948,7.068215,14146825
03/03/2016,7.982,8.049,7.904,7.989,7.104676,8394913
04/03/2016,8.055,8.155,7.937,8.091,7.195385,10391638
07/03/2016,8.205,8.272,7.955,8.126,7.226512,12270535
08/03/2016,8.05,8.185,7.941,7.994,7.109123,9573143
09/03/2016,8,8.201,7.971,8.049,7.158035,9596990
10/03/2016,8.05,8.463,7.975,7.996,7.110901,21533179
11/03/2016,8.169,8.48,8.168,8.44,7.505754,18194772
14/03/2016,8.597,8.641,8.373,8.466,7.528876,12461021
15/03/2016,8.425,8.485,8.259,8.33,7.40793,10067624
16/03/2016,8.358,8.428,8.123,8.252,7.338564,10761607
17/03/2016,8.36,8.37,7.833,8.055,7.163371,13775451
18/03/2016,8.074,8.246,7.96,8.18,7.274534,21396884
21/03/2016,8.116,8.32,8.034,8.096,7.199832,7187814
22/03/2016,8.008,8.087,7.91,8.081,7.186493,6742254
23/03/2016,8.12,8.177,7.851,7.921,7.044204,8300771
24/03/2016,7.87,7.899,7.715,7.76,6.901026,7491465
29/03/2016,7.795,7.91,7.615,7.649,6.802312,6352609
30/03/2016,7.7,7.786,7.621,7.671,6.821877,6086391
31/03/2016,7.638,7.735,7.511,7.641,6.795197,7042034
01/04/2016,7.552,7.745,7.501,7.582,6.742728,9242397
04/04/2016,7.62,7.757,7.56,7.652,6.80498,7366977
05/04/2016,7.528,7.549,7.351,7.36,6.545302,9181751
06/04/2016,7.388,7.547,7.3,7.457,6.631565,8924372
07/04/2016,7.485,7.51,7.228,7.267,6.462596,8547051
08/04/2016,7.272,7.55,7.27,7.493,6.66358,8968655
11/04/2016,7.499,7.838,7.43,7.73,6.874346,10955050
12/04/2016,7.785,7.9,7.58,7.754,6.895689,11049684
13/04/2016,7.866,8.299,7.864,8.299,7.380362,14114760
14/04/2016,8.32,8.44,8.181,8.388,7.459509,12836197
15/04/2016,8.322,8.367,8.236,8.323,7.401705,6694497
18/04/2016,8.19,8.567,8.14,8.525,7.581345,9794842
19/04/2016,8.6,8.653,8.444,8.456,7.519983,13901120
20/04/2016,8.49,8.56,8.05,8.271,7.355461,19890011
21/04/2016,8.16,8.439,8.12,8.297,7.561425,14615945
22/04/2016,8.293,8.426,8.275,8.35,7.609726,9861486
25/04/2016,8.35,8.428,8.133,8.169,7.444773,9608136
26/04/2016,8.189,8.354,8.15,8.301,7.56507,8096824
27/04/2016,8.301,8.39,8.223,8.286,7.5514,7799411
28/04/2016,8.25,8.46,8.238,8.405,7.65985,11766372
29/04/2016,8.3,8.387,8.126,8.16,7.436571,12235687
02/05/2016,8.188,8.2,7.986,8.095,7.377334,7196659
03/05/2016,7.81,7.825,7.214,7.322,6.672864,27241423
04/05/2016,7.375,7.39,7.115,7.144,6.510645,14837948
05/05/2016,7.169,7.203,6.964,7,6.379411,11799632
06/05/2016,7.002,7.197,6.93,7.081,6.45323,11837848
09/05/2016,7.179,7.197,6.962,6.999,6.3785,11566187
10/05/2016,7.038,7.151,6.989,7.054,6.428624,10069622
11/05/2016,7.06,7.089,6.912,7.034,6.410397,8153493
12/05/2016,6.999,7.115,6.893,6.918,6.304681,10067498
13/05/2016,6.89,7.015,6.823,6.977,6.358451,8015146
17/05/2016,7.036,7.197,6.955,7.019,6.396727,10487428
18/05/2016,6.969,7.185,6.943,7.179,6.542542,9305503
19/05/2016,7.164,7.417,7.14,7.259,6.615449,10999010
20/05/2016,7.347,7.352,7.23,7.317,6.668307,8384599
23/05/2016,7.318,7.409,7.201,7.302,6.654637,6211338
24/05/2016,7.25,7.52,7.239,7.499,6.834172,7666680
25/05/2016,7.603,7.774,7.579,7.774,7.084792,9554838
26/05/2016,7.751,7.85,7.631,7.826,7.132182,8506854
27/05/2016,7.785,7.849,7.736,7.789,7.098462,7213157
30/05/2016,7.83,7.844,7.761,7.817,7.12398,3172710
31/05/2016,7.807,7.847,7.674,7.7,7.017353,6377612
01/06/2016,7.67,7.69,7.478,7.571,6.899789,7886241
02/06/2016,7.571,7.718,7.495,7.524,6.856956,7591519
03/06/2016,7.569,7.613,7.302,7.351,6.699293,7663321
06/06/2016,7.35,7.437,7.277,7.334,6.683801,4055441
07/06/2016,7.371,7.529,7.36,7.439,6.779492,5595551
08/06/2016,7.425,7.461,7.26,7.274,6.62912,6290154
09/06/2016,7.244,7.244,7.041,7.044,6.419511,9222443
10/06/2016,7,7.027,6.738,6.753,6.154309,12246413
13/06/2016,6.68,6.68,6.474,6.52,5.941966,11824213
14/06/2016,6.473,6.58,6.38,6.403,5.835339,9467127
15/06/2016,6.5,6.565,6.331,6.41,5.841718,11686795
16/06/2016,6.3,6.315,6.127,6.26,5.705017,12950242
17/06/2016,6.358,6.568,6.356,6.533,5.953813,14497158
