Date,Open,High,Low,Close,Adj Close,Volume
01/01/2016,1.00136,1.0014,1.00136,1.00136,1.00136,0
04/01/2016,0.9994,1.00553,0.99253,0.9995,0.9995,0
05/01/2016,1.00256,1.0122,1.0004,1.00242,1.00242,0
06/01/2016,1.0085,1.0119,1.0072,1.0084,1.0084,0
07/01/2016,1.0073,1.00743,0.99944,1.00739,1.00739,0
08/01/2016,0.99377,1.00435,0.9934,0.9937,0.9937,0
11/01/2016,0.9922,1.00197,0.9922,0.9921,0.9921,0
12/01/2016,1.00165,1.00384,0.9966,1.0015,1.0015,0
13/01/2016,1.0029,1.01057,1.0024,1.0029,1.0029,0
14/01/2016,1.006,1.00894,1.001,1.006,1.006,0
15/01/2016,1.0052,1.0057,0.99594,1.0052,1.0052,0
18/01/2016,1.00182,1.00721,1.0011,1.0017,1.0017,0
19/01/2016,1.005,1.008,1.00247,1.005,1.005,0
20/01/2016,1.0032,1.00354,0.99918,1.0032,1.0032,0
21/01/2016,1.0059,1.0138,1.0013,1.00557,1.00557,0
22/01/2016,1.0078,1.01536,1.0068,1.0079,1.0079,0
25/01/2016,1.01628,1.01628,1.0125,1.01612,1.01612,0
26/01/2016,1.0122,1.01862,1.0117,1.0124,1.0124,0
27/01/2016,1.01696,1.01811,1.0131,1.01724,1.01724,0
28/01/2016,1.0143,1.0177,1.0112,1.0143,1.0143,0
29/01/2016,1.0139,1.02538,1.0133,1.0138,1.0138,0
01/02/2016,1.0243,1.0243,1.01579,1.0245,1.0245,0
02/02/2016,1.01959,1.0222,1.01705,1.0195,1.0195,0
03/02/2016,1.01873,1.01931,1.00572,1.01869,1.01869,0
04/02/2016,1.0052,1.0073,0.994,1.0052,1.0052,0
05/02/2016,0.9932,0.99837,0.98948,0.99339,0.99339,0
08/02/2016,0.9927,0.99709,0.9893,0.9928,0.9928,0
09/02/2016,0.98722,0.98722,0.96954,0.9871,0.9871,0
10/02/2016,0.9729,0.98141,0.971,0.9729,0.9729,0
11/02/2016,0.97339,0.9748,0.96624,0.9734,0.9734,0
12/02/2016,0.97231,0.97822,0.9714,0.9723,0.9723,0
15/02/2016,0.978,0.98881,0.9772,0.9782,0.9782,0
16/02/2016,0.98592,0.98935,0.9846,0.9857,0.9857,0
17/02/2016,0.98836,0.99411,0.9852,0.9883,0.9883,0
18/02/2016,0.99263,0.99666,0.9903,0.9925,0.9925,0
19/02/2016,0.99315,0.9966,0.99018,0.99309,0.99309,0
