Date,Open,High,Low,Close,Adj Close,Volume
01/01/2016,6.4837,6.4837,6.4837,6.4837,6.4837,0
04/01/2016,6.4837,6.5256,6.4837,6.4837,6.4837,0
05/01/2016,6.5254,6.5254,6.5095,6.5254,6.5254,0
06/01/2016,6.5125,6.55,6.5125,6.5125,6.5125,0
07/01/2016,6.5467,6.585,6.5467,6.5467,6.5467,0
08/01/2016,6.5829,6.5865,6.5557,6.5829,6.5829,0
11/01/2016,6.5865,6.5865,6.5595,6.5865,6.5865,0
12/01/2016,6.5595,6.5695,6.556,6.5595,6.5595,0
13/01/2016,6.5625,6.5703,6.5625,6.5625,6.5625,0
14/01/2016,6.5654,6.5816,6.5654,6.5654,6.5654,0
15/01/2016,6.5802,6.5802,6.5739,6.5802,6.5802,0
18/01/2016,6.5749,6.5749,6.5684,6.5749,6.5749,0
19/01/2016,6.5689,6.5696,6.5653,6.5689,6.5689,0
20/01/2016,6.5686,6.5707,6.5684,6.5686,6.5686,0
21/01/2016,6.5684,6.5704,6.5684,6.5684,6.5684,0
22/01/2016,6.57,6.5705,6.5686,6.57,6.57,0
25/01/2016,6.5691,6.5695,6.569,6.5691,6.5691,0
26/01/2016,6.5694,6.5738,6.5692,6.5694,6.5694,0
27/01/2016,6.5725,6.5725,6.5665,6.5725,6.5725,0
28/01/2016,6.5678,6.5682,6.5642,6.5678,6.5678,0
29/01/2016,6.5652,6.5688,6.5643,6.5652,6.5652,0
01/02/2016,6.5661,6.5691,6.5661,6.5661,6.5661,0
02/02/2016,6.5684,6.57,6.5684,6.5684,6.5684,0
03/02/2016,6.5698,6.5705,6.5665,6.5698,6.5698,0
04/02/2016,6.567,6.5689,6.5543,6.567,6.567,0
05/02/2016,6.5548,6.5643,6.5548,6.5548,6.5548,0
08/02/2016,6.5639,6.5639,6.5639,6.5639,6.5639,0
09/02/2016,6.5639,6.5639,6.5639,6.5639,6.5639,0
10/02/2016,6.5639,6.5639,6.5639,6.5639,6.5639,0
11/02/2016,6.5639,6.5639,6.5639,6.5639,6.5639,0
12/02/2016,6.5639,6.5639,6.5639,6.5639,6.5639,0
15/02/2016,6.5639,6.5639,6.4819,6.5639,6.5639,0
16/02/2016,6.4862,6.5069,6.4862,6.4862,6.4862,0
17/02/2016,6.5069,6.5183,6.5069,6.5069,6.5069,0
18/02/2016,6.5183,6.5183,6.5055,6.5183,6.5183,0
19/02/2016,6.5088,6.5124,6.5088,6.5088,6.5088,0
22/02/2016,6.5124,6.5124,6.5093,6.5124,6.5124,0
23/02/2016,6.5118,6.5192,6.5118,6.5118,6.5118,0
24/02/2016,6.5171,6.5282,6.5171,6.5171,6.5171,0
25/02/2016,6.5217,6.5254,6.5217,6.5217,6.5217,0
26/02/2016,6.5235,6.5304,6.5188,6.5235,6.5235,0
29/02/2016,6.5304,6.545,6.5304,6.5304,6.5304,0
01/03/2016,6.544,6.544,6.5304,6.544,6.544,0
02/03/2016,6.5421,6.5423,6.5396,6.5421,6.5421,0
03/03/2016,6.541,6.541,6.5215,6.541,6.541,0
04/03/2016,6.5215,6.5215,6.4956,6.5215,6.5215,0
07/03/2016,6.4981,6.5098,6.4981,6.4981,6.4981,0
08/03/2016,6.5068,6.5068,6.4923,6.5068,6.5068,0
09/03/2016,6.4947,6.508,6.4947,6.4947,6.4947,0
10/03/2016,6.503,6.514,6.4986,6.503,6.503,0
11/03/2016,6.4986,6.4986,6.4783,6.4986,6.4986,0
14/03/2016,6.4853,6.4915,6.4841,6.4853,6.4853,0
15/03/2016,6.49,6.5056,6.4882,6.49,6.49,0
16/03/2016,6.5045,6.5155,6.5012,6.5045,6.5045,0
17/03/2016,6.512,6.512,6.463,6.512,6.512,0
18/03/2016,6.465,6.4717,6.4525,6.465,6.465,0
21/03/2016,6.4616,6.4763,6.4616,6.4616,6.4616,0
22/03/2016,6.4746,6.4867,6.4746,6.4746,6.4746,0
23/03/2016,6.4801,6.4991,6.4769,6.4801,6.4801,0
24/03/2016,6.4963,6.5083,6.4963,6.4963,6.4963,0
25/03/2016,6.5047,6.5047,6.5047,6.5047,6.5047,0
28/03/2016,6.5265,6.5265,6.4751,6.5265,6.5265,0
29/03/2016,6.5017,6.5146,6.4855,6.501,6.501,0
30/03/2016,6.4979,6.4979,6.4551,6.5049,6.5049,0
31/03/2016,6.4551,6.458,6.439,6.4551,6.4551,0
01/04/2016,6.439,6.4695,6.439,6.439,6.439,0
04/04/2016,6.4686,6.4686,6.4686,6.4686,6.4686,0
05/04/2016,6.4686,6.4686,6.458,6.4686,6.4686,0
06/04/2016,6.4673,6.4779,6.466,6.4673,6.4673,0
07/04/2016,6.4709,6.4709,6.453,6.4709,6.4709,0
08/04/2016,6.453,6.4696,6.453,6.453,6.453,0
11/04/2016,6.4558,6.4628,6.4479,6.4558,6.4558,0
12/04/2016,6.4495,6.4622,6.4465,6.4495,6.4495,0
13/04/2016,6.4556,6.4684,6.4532,6.4556,6.4556,0
14/04/2016,6.4684,6.4776,6.4684,6.4684,6.4684,0
15/04/2016,6.4726,6.4775,6.4611,6.4726,6.4726,0
18/04/2016,6.4656,6.4709,6.4647,6.4656,6.4656,0
19/04/2016,6.4652,6.4665,6.4481,6.4652,6.4652,0
20/04/2016,6.4481,6.4616,6.4481,6.4481,6.4481,0
21/04/2016,6.4608,6.475,6.4608,6.4608,6.4608,0
22/04/2016,6.4719,6.491,6.4695,6.4719,6.4719,0
25/04/2016,6.491,6.4957,6.4823,6.491,6.491,0
26/04/2016,6.483,6.4882,6.477,6.483,6.483,0
27/04/2016,6.4835,6.4877,6.4787,6.4835,6.4835,0
28/04/2016,6.485,6.492,6.4648,6.485,6.485,0
29/04/2016,6.4659,6.4783,6.4531,6.4659,6.4659,0
02/05/2016,6.4641,6.4641,6.4641,6.4641,6.4641,0
03/05/2016,6.4641,6.4818,6.4614,6.4641,6.4641,0
04/05/2016,6.4818,6.4953,6.4818,6.4818,6.4818,0
05/05/2016,6.4848,6.5,6.4848,6.4848,6.4848,0
06/05/2016,6.4935,6.4982,6.4877,6.4935,6.4935,0
09/05/2016,6.4902,6.5069,6.4902,6.4902,6.4902,0
10/05/2016,6.5069,6.5126,6.5046,6.5069,6.5069,0
11/05/2016,6.5083,6.5083,6.482,6.5083,6.5083,0
12/05/2016,6.482,6.5118,6.482,6.482,6.482,0
13/05/2016,6.5068,6.5225,6.505,6.5068,6.5068,0
16/05/2016,6.522,6.522,6.5102,6.522,6.522,0
17/05/2016,6.5213,6.5294,6.5144,6.5213,6.5213,0
18/05/2016,6.5104,6.529,6.5104,6.5186,6.5186,0
19/05/2016,6.5288,6.5404,6.5288,6.5288,6.5288,0
20/05/2016,6.537,6.5373,6.5307,6.537,6.537,0
23/05/2016,6.5367,6.546,6.5367,6.5367,6.5367,0
24/05/2016,6.5457,6.5475,6.54,6.5457,6.5457,0
25/05/2016,6.5472,6.5546,6.5441,6.5472,6.5472,0
26/05/2016,6.5441,6.551,6.5405,6.5441,6.5441,0
27/05/2016,6.547,6.5555,6.5436,6.547,6.547,0
30/05/2016,6.5533,6.5733,6.5533,6.5533,6.5533,0
31/05/2016,6.5733,6.5754,6.5638,6.5733,6.5733,0
01/06/2016,6.5729,6.584,6.5651,6.5729,6.5729,0
02/06/2016,6.5651,6.5745,6.5651,6.5651,6.5651,0
03/06/2016,6.5745,6.578,6.5548,6.5745,6.5745,0
06/06/2016,6.5548,6.557,6.5538,6.5548,6.5548,0
07/06/2016,6.5538,6.5633,6.5538,6.5538,6.5538,0
08/06/2016,6.5615,6.5618,6.5518,6.5615,6.5615,0
09/06/2016,6.5525,6.5525,6.552,6.5525,6.5525,0
10/06/2016,6.552,6.552,6.552,6.552,6.552,0
13/06/2016,6.552,6.5778,6.552,6.552,6.552,0
14/06/2016,6.5757,6.5865,6.5691,6.5757,6.5757,0
15/06/2016,6.5865,6.5945,6.5688,6.5865,6.5865,0
16/06/2016,6.5718,6.582,6.563,6.5718,6.5718,0
17/06/2016,6.582,6.5835,6.5716,6.582,6.582,0
20/06/2016,6.5784,6.5784,6.5625,6.5784,6.5784,0
21/06/2016,6.5671,6.5825,6.5649,6.5671,6.5671,0
22/06/2016,6.5803,6.5833,6.5631,6.5803,6.5803,0
23/06/2016,6.5675,6.572,6.5614,6.5675,6.5675,0
24/06/2016,6.5673,6.617,6.5673,6.5673,6.5673,0
27/06/2016,6.6118,6.6416,6.6118,6.6118,6.6118,0
28/06/2016,6.6416,6.6429,6.6342,6.6416,6.6416,0
29/06/2016,6.6381,6.6439,6.6268,6.6381,6.6381,0
30/06/2016,6.6268,6.6442,6.6268,6.6268,6.6268,0
01/07/2016,6.6381,6.6518,6.6381,6.6381,6.6381,0
04/07/2016,6.6457,6.6571,6.6457,6.6457,6.6457,0
05/07/2016,6.6553,6.6697,6.6553,6.6553,6.6553,0
06/07/2016,6.6697,6.6854,6.6697,6.6697,6.6697,0
07/07/2016,6.683,6.683,6.6705,6.683,6.683,0
08/07/2016,6.6711,6.681,6.6711,6.6711,6.6711,0
11/07/2016,6.6781,6.6839,6.6777,6.6781,6.6781,0
12/07/2016,6.6839,6.6839,6.6732,6.6839,6.6839,0
13/07/2016,6.6786,6.6826,6.6714,6.6786,6.6786,0
14/07/2016,6.6763,6.6782,6.6736,6.6763,6.6763,0
15/07/2016,6.6736,6.6788,6.6706,6.6736,6.6736,0
18/07/2016,6.6748,6.7075,6.6654,6.6761,6.6761,0
19/07/2016,6.7043,6.7081,6.6829,6.7046,6.7046,0
20/07/2016,6.6951,6.7002,6.6695,6.6954,6.6954,0
21/07/2016,6.6775,6.6926,6.6611,6.6766,6.6766,0
22/07/2016,6.6742,6.6827,6.6622,6.6744,6.6744,0
25/07/2016,6.6948,6.7054,6.6735,6.6939,6.6939,0
26/07/2016,6.6794,6.6823,6.6622,6.6793,6.6793,0
27/07/2016,6.6685,6.6892,6.6619,6.6697,6.6697,0
28/07/2016,6.668,6.6724,6.6506,6.6668,6.6668,0
29/07/2016,6.6558,6.6621,6.628,6.6561,6.6561,0
01/08/2016,6.6424,6.6485,6.609,6.6423,6.6423,0
02/08/2016,6.642,6.6502,6.622,6.6415,6.6415,0
