Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,13.67,13.68,13.38,13.43,9.990737,21702202
05/01/2016,13.65,13.69,13.41,13.55,10.080006,13242609
06/01/2016,13.5,13.5,13.07,13.17,9.797319,18514679
07/01/2016,12.85,13.18,12.32,13.07,9.722928,32158578
08/01/2016,13.07,13.08,12.7,12.7,9.447682,21956587
11/01/2016,12.61,12.98,12.6,12.65,9.410487,19515479
12/01/2016,12.57,12.98,12.52,12.68,9.432803,20709127
13/01/2016,12.77,13.03,12.68,12.83,9.54439,22608537
14/01/2016,12.68,13.23,12.61,13.01,9.678294,29661577
15/01/2016,12.87,12.92,12.45,12.55,9.336095,33708726
18/01/2016,12.49,12.73,12.31,12.41,9.231947,19679169
19/01/2016,12.65,12.85,12.49,12.58,9.358413,21712800
20/01/2016,12.3,12.37,12.01,12.16,9.045969,34271933
21/01/2016,12.18,12.58,12.01,12.55,9.336095,31674985
22/01/2016,12.95,13.15,12.75,12.97,9.648538,29308474
25/01/2016,13.09,13.09,12.77,12.81,9.529511,19558642
26/01/2016,12.6,13.13,12.46,13.08,9.730369,25012320
27/01/2016,13.05,13.16,12.79,13.14,9.775003,21435040
28/01/2016,13.13,13.78,12.9,13.17,9.797319,41119234
29/01/2016,13.44,13.47,13.15,13.28,9.87915,24533489
01/02/2016,13.3,13.37,12.98,13.14,9.775003,19476128
02/02/2016,12.96,13.02,12.41,12.51,9.306338,24517400
03/02/2016,12.53,12.67,12.13,12.46,9.269142,23880747
04/02/2016,12.68,12.97,12.53,12.74,9.477438,27086647
05/02/2016,12.74,12.84,12.46,12.53,9.321217,22734532
08/02/2016,12.58,12.69,12.03,12.08,8.986456,26931050
09/02/2016,12.15,12.24,11.55,11.6,8.629379,30120722
10/02/2016,11.66,11.93,11.3,11.63,8.651694,29893832
11/02/2016,11.46,11.5,10.93,10.93,8.130958,29697007
12/02/2016,11.25,11.66,11.09,11.66,8.674012,28602758
15/02/2016,11.85,12.12,11.77,11.94,8.882308,20395490
16/02/2016,12.24,12.26,11.69,11.85,8.815356,24084617
17/02/2016,11.79,12.23,11.69,12.23,9.098042,20909474
18/02/2016,12.35,12.38,11.95,11.97,8.904625,20528933
19/02/2016,11.85,12.04,11.77,11.92,8.867431,17962351
22/02/2016,12.02,12.38,12.01,12.35,9.187312,16782082
23/02/2016,12.26,12.41,12.08,12.08,8.986456,17035839
24/02/2016,12.07,12.08,11.68,11.78,8.763282,18411949
25/02/2016,11.98,12.28,11.91,12.09,8.993896,17634790
26/02/2016,12.4,12.9,12.36,12.71,9.455121,28547909
29/02/2016,12.67,12.95,12.61,12.95,9.633658,19637362
01/03/2016,13.08,13.38,12.93,13.35,9.931226,25573415
02/03/2016,13.4,13.45,13.11,13.45,10.005615,18780808
03/03/2016,13.45,13.64,13.36,13.63,10.139519,17534928
04/03/2016,13.72,13.73,13.3,13.54,10.072566,18554395
07/03/2016,13.51,13.61,13.33,13.59,10.109763,16543938
