Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,41.060001,41.330002,40.134998,40.525002,30.183439,8369499
05/01/2016,41,41.18,39.965,40.154999,29.907856,7198967
06/01/2016,40.150002,40.165001,39.619999,39.77,29.621101,9221030
07/01/2016,38.349998,39.165001,37.755001,38.805,28.902357,11331090
08/01/2016,38.865002,38.950001,37.349998,37.349998,27.818663,9186486
11/01/2016,37.455002,38.445,37.299999,37.349998,27.818663,7845716
12/01/2016,37.400002,38.450001,36.849998,37.25,27.744179,8704361
13/01/2016,37.924999,38.785,37.43,37.849998,28.191069,8230920
14/01/2016,37.514999,39.494999,37.02,38.830002,28.920982,11959710
15/01/2016,38.849998,38.889999,37.310001,37.654999,28.045822,12602658
18/01/2016,37.400002,38.865002,37.195,38.080002,28.362373,8048056
19/01/2016,38.855,39.474998,38.285,38.619999,28.764568,8137189
20/01/2016,37.470001,37.615002,36.279999,36.52,27.200466,11617538
21/01/2016,36.485001,37.830002,36.154999,37.610001,28.012314,10349115
22/01/2016,39.345001,39.889999,38.700001,39.259998,29.241249,12644938
25/01/2016,39.384998,39.470001,38.099998,38.525002,28.693819,7116335
26/01/2016,37.575001,39.700001,37.325001,39.650002,29.531727,8040343
27/01/2016,39.470001,40.150002,38.825001,40.150002,29.904131,6606120
28/01/2016,40.220001,41.244999,39.599998,40.215,29.952541,11333401
29/01/2016,41.025002,41.349998,40.165001,40.919998,30.477631,9861663
01/02/2016,41.185001,41.360001,39.575001,40,29.792412,6699838
02/02/2016,39.275002,39.5,37.68,38.205002,28.455475,9604952
03/02/2016,38.169998,38.68,37.450001,38.419998,28.615606,8691228
04/02/2016,39.189999,39.865002,38.689999,39.235001,29.222631,10169686
05/02/2016,39.290001,39.639999,38.720001,38.904999,28.976841,8071372
08/02/2016,39.165001,39.244999,37.529999,38.169998,28.429398,10542278
09/02/2016,38.224998,38.599998,36.674999,36.805,27.412743,11507577
10/02/2016,37.064999,37.505001,36.290001,36.52,27.200466,10030947
11/02/2016,36.52,36.615002,35.209999,35.325001,26.310417,10755011
12/02/2016,36.349998,38,36.205002,38,28.302792,15767768
15/02/2016,39.154999,39.66,38.610001,38.625,28.768297,11432287
16/02/2016,40.02,40.200001,38.380001,38.775002,28.880013,12226371
17/02/2016,37.755001,39.345001,37.645,39.345001,29.304554,13712190
18/02/2016,39.5,40.099998,39.209999,39.549999,29.457241,10305723
19/02/2016,39.514999,39.915001,39.200001,39.740002,29.598766,9990713
22/02/2016,40.110001,40.895,40.110001,40.830002,30.410599,7145166
23/02/2016,40.169998,40.915001,39.654999,39.82,29.658346,7442213
24/02/2016,39.490002,39.599998,38.395,39.134998,29.148144,8791958
25/02/2016,39.73,40.400002,39.415001,39.869999,29.695574,7678999
26/02/2016,40.299999,41.395,40.27,40.834999,30.41432,7737362
29/02/2016,40.48,41.389999,40.240002,41.375,30.816521,8546865
01/03/2016,41.325001,41.814999,41.165001,41.549999,30.946869,7941184
02/03/2016,41.794998,42.209999,41.064999,42.209999,31.43844,6446017
03/03/2016,42.240002,42.450001,41.66,42.200001,31.430994,6110392
04/03/2016,42.360001,42.790001,41.889999,42.674999,31.784781,7174640
07/03/2016,42.52,42.91,41.814999,42.810001,31.885321,6405580
08/03/2016,42.259998,42.75,41.779999,42.040001,31.311819,7885415
09/03/2016,41.924999,42.580002,41.73,42.105,31.360229,7128163
10/03/2016,42.099998,43.43,40.805,40.805,30.391977,12703008
11/03/2016,41.794998,42.349998,41.349998,42.349998,31.542711,10218141
