Date,Open,High,Low,Close,Adj Close,Volume
01/01/2016,8.85848,8.85848,8.7751,8.85848,8.85848,0
04/01/2016,8.8315,8.90609,8.81197,8.82864,8.82864,0
05/01/2016,8.87793,8.96283,8.8566,8.87845,8.87845,0
06/01/2016,8.90527,8.98968,8.88892,8.90585,8.90585,0
07/01/2016,8.93464,8.98203,8.905,8.94605,8.94605,0
08/01/2016,8.8861,8.9563,8.8696,8.88579,8.88579,0
11/01/2016,8.87493,8.9545,8.86045,8.87106,8.87106,0
12/01/2016,8.94121,8.94121,8.8471,8.9403,8.9403,0
13/01/2016,8.86858,8.89392,8.7912,8.87499,8.87499,0
14/01/2016,8.81829,8.85065,8.77274,8.82006,8.82006,0
15/01/2016,8.75855,8.83838,8.7553,8.76278,8.76278,0
18/01/2016,8.8497,8.89776,8.84133,8.84935,8.84935,0
19/01/2016,8.89496,8.90347,8.8135,8.89397,8.89397,0
20/01/2016,8.81038,8.91024,8.7952,8.81058,8.81058,0
21/01/2016,8.87844,8.95163,8.86009,8.87748,8.87748,0
22/01/2016,8.78102,8.80698,8.71592,8.78082,8.78082,0
25/01/2016,8.73516,8.78888,8.7039,8.7346,8.7346,0
26/01/2016,8.7488,8.77612,8.7012,8.7577,8.7577,0
27/01/2016,8.70477,8.72918,8.65609,8.7051,8.7051,0
28/01/2016,8.6563,8.6754,8.60741,8.65288,8.65288,0
29/01/2016,8.61558,8.7307,8.57861,8.61465,8.61465,0
01/02/2016,8.68568,8.6974,8.63636,8.68545,8.68545,0
02/02/2016,8.67528,8.73875,8.6746,8.68045,8.68045,0
03/02/2016,8.7232,8.73967,8.62687,8.71968,8.71968,0
04/02/2016,8.56331,8.56951,8.44758,8.56361,8.56361,0
05/02/2016,8.4962,8.61115,8.48369,8.49611,8.49611,0
08/02/2016,8.564,8.6515,8.5312,8.56177,8.56177,0
09/02/2016,8.5829,8.62289,8.5471,8.58316,8.58316,0
10/02/2016,8.57986,8.59329,8.50228,8.581,8.581,0
11/02/2016,8.50406,8.59138,8.48986,8.5141,8.5141,0
12/02/2016,8.55423,8.62651,8.53736,8.5542,8.5542,0
15/02/2016,8.58968,8.6547,8.5668,8.59133,8.59133,0
16/02/2016,8.60896,8.63967,8.5782,8.6095,8.6095,0
17/02/2016,8.6268,8.64387,8.5852,8.6275,8.6275,0
18/02/2016,8.55075,8.60226,8.52413,8.54834,8.54834,0
19/02/2016,8.59143,8.62351,8.56393,8.5894,8.5894,0
22/02/2016,8.56463,8.6252,8.55243,8.5641,8.5641,0
23/02/2016,8.60216,8.62553,8.58173,8.60696,8.60696,0
24/02/2016,8.6004,8.75287,8.5932,8.59978,8.59978,0
25/02/2016,8.65607,8.68194,8.62119,8.66628,8.66628,0
26/02/2016,8.62352,8.6878,8.5921,8.62322,8.62322,0
29/02/2016,8.68913,8.7332,8.66832,8.69111,8.69111,0
01/03/2016,8.68748,8.70072,8.63396,8.68584,8.68584,0
02/03/2016,8.63418,8.7189,8.63403,8.64021,8.64021,0
03/03/2016,8.66074,8.6875,8.60686,8.66124,8.66124,0
04/03/2016,8.58459,8.58769,8.51217,8.5833,8.5833,0
07/03/2016,8.49335,8.55498,8.48387,8.49108,8.49108,0
08/03/2016,8.50318,8.59599,8.483,8.5037,8.5037,0
09/03/2016,8.56761,8.5888,8.50979,8.5656,8.5656,0
10/03/2016,8.52994,8.60209,8.47979,8.52968,8.52968,0
11/03/2016,8.50633,8.54178,8.41851,8.50734,8.50734,0
14/03/2016,8.4119,8.49076,8.39721,8.41045,8.41045,0
15/03/2016,8.4756,8.57598,8.46612,8.46969,8.46969,0
16/03/2016,8.55142,8.60225,8.54327,8.55144,8.55144,0
17/03/2016,8.45513,8.4576,8.3081,8.44769,8.44769,0
18/03/2016,8.32064,8.35826,8.30116,8.31985,8.31985,0
21/03/2016,8.3772,8.4144,8.36164,8.37698,8.37698,0
22/03/2016,8.41186,8.46222,8.37805,8.40609,8.40609,0
23/03/2016,8.40136,8.49514,8.39117,8.3993,8.3993,0
24/03/2016,8.47886,8.51778,8.47121,8.47908,8.47908,0
25/03/2016,8.48768,8.50255,8.45544,8.48502,8.48502,0
28/03/2016,8.4864,8.50896,8.4157,8.48598,8.48598,0
29/03/2016,8.42818,8.4885,8.42541,8.42747,8.42747,0
30/03/2016,8.39119,8.3921,8.278,8.3923,8.3923,0
31/03/2016,8.30909,8.32938,8.25154,8.30862,8.30862,0
01/04/2016,8.26865,8.34657,8.2516,8.27297,8.27297,0
04/04/2016,8.31111,8.34658,8.28548,8.30947,8.30947,0
05/04/2016,8.33232,8.3779,8.31892,8.3315,8.3315,0
