Date,Open,High,Low,Close,Adj Close,Volume
10/06/2016,256,259.600006,250,252,229.491516,3397510
13/06/2016,245,249.899994,238.5,244,222.206085,2858474
14/06/2016,242,249.399994,239.600006,249.399994,227.123749,1128944
15/06/2016,250,255,249.699997,253.5,230.857529,630679
16/06/2016,246.100006,252,245,250.800003,228.398697,1907245
17/06/2016,250.800003,256.5,250.300003,256.5,233.589615,2844299
20/06/2016,255,259,255,258.5,235.41095,914066
21/06/2016,256.299988,258.299988,255.399994,257.299988,234.31813,789584
22/06/2016,257.799988,258.5,254.5,258.5,235.41095,427075
23/06/2016,256.100006,257.5,253,256.600006,233.680664,348710
24/06/2016,220.699997,245,220.199997,240,218.56337,2564474
27/06/2016,242,242,235,236,214.920624,773500
28/06/2016,240,246,238.800003,240,218.56337,766085
29/06/2016,242.5,243.5,238.800003,241.5,219.929367,1668321
30/06/2016,240,244,239.100006,240.300003,218.836563,591156
01/07/2016,242.300003,243,240.5,241,219.47403,411919
04/07/2016,241,242.5,239.300003,240,218.56337,325527
05/07/2016,239,242,239,242,220.384705,833842
06/07/2016,245,245.899994,238.199997,239.5,218.108002,571863
07/07/2016,241.5,247,240.899994,246.899994,224.847061,1034593
08/07/2016,246,255,245.699997,253,230.402206,488953
11/07/2016,253,256.399994,250.100006,250.5,228.125504,169115
12/07/2016,251,251,247.100006,249,226.759491,171832
13/07/2016,249,253,248,252,229.491516,145444
14/07/2016,252,255,251,253.5,230.857529,202606
15/07/2016,255,255,252,253.699997,231.039688,196612
18/07/2016,253,254.5,251.899994,254.5,231.768219,196447
19/07/2016,254,254.5,252.100006,253.899994,231.221817,144784
20/07/2016,258,267.100006,257.5,265.399994,241.694641,839322
21/07/2016,265.299988,265.399994,258.799988,260,236.776978,503162
22/07/2016,261,265.200012,260.399994,264.899994,241.239304,247957
25/07/2016,265,267.5,265,265,241.330368,191886
26/07/2016,266.200012,271.700012,264.5,271,246.794479,515482
27/07/2016,271.799988,273,269.5,271.100006,246.885498,265380
28/07/2016,271.5,272.899994,270,271.399994,247.158722,249749
29/07/2016,271.399994,272.5,270.100006,271,246.794479,181696
01/08/2016,272.700012,275,271,271.799988,247.52298,237629
02/08/2016,274.399994,274.600006,270.799988,272,247.705139,252899
03/08/2016,274.5,281.899994,273,281.899994,256.720856,757746
04/08/2016,277.200012,279.399994,270,279.399994,254.444168,875713
05/08/2016,279.399994,279.399994,272.600006,276,251.347839,336882
08/08/2016,275.899994,279.899994,274.700012,279,254.07988,270383
09/08/2016,278,279,276.200012,278,253.169235,235050
10/08/2016,277,277.600006,272,273,248.615829,272758
11/08/2016,274,275.5,269,272.200012,247.887299,272497
12/08/2016,272.100006,272.5,270.100006,270.100006,245.974854,129601
15/08/2016,270.100006,271.100006,267.5,269,244.973114,117462
16/08/2016,267.899994,270,265,267.299988,243.424911,200649
17/08/2016,266.5,267.299988,262.5,264,240.419678,221066
18/08/2016,265,272.899994,263,264.899994,241.239304,256409
19/08/2016,265,268.399994,263,268.399994,244.426666,148891
22/08/2016,268,271,266.299988,270.600006,246.430222,163797
23/08/2016,270.600006,271.5,269,271.299988,247.067642,116361
24/08/2016,271.600006,277.399994,271.5,276.399994,251.712128,239627
25/08/2016,275.399994,276.100006,271.200012,273.600006,249.162216,209029
26/08/2016,273.600006,276.899994,271.700012,274.600006,250.072906,207880
29/08/2016,274,275.200012,267.299988,270,245.883789,174226
30/08/2016,270,272,263.100006,269.899994,245.792709,300700
31/08/2016,268.700012,268.700012,264.100006,264.700012,241.057159,321212
01/09/2016,264.700012,266.200012,264.399994,265,241.330368,174128
02/09/2016,265.100006,271.899994,264.899994,269.5,245.428421,727129
05/09/2016,271,275.799988,270.299988,274,249.526505,201880
06/09/2016,270.899994,279.899994,270.600006,278,253.169235,298293
07/09/2016,278,278.600006,272.200012,273,248.615829,164190
08/09/2016,273,277.700012,272.700012,273.200012,248.797974,192337
09/09/2016,272.700012,273.299988,270.100006,271.399994,247.158722,162442
12/09/2016,267.200012,272.5,264.200012,268.899994,244.882019,226850
13/09/2016,269,271.399994,266.799988,267,243.151733,156808
14/09/2016,267,270,265,267.200012,243.333878,255044
15/09/2016,266.5,270,265,268.600006,244.60881,211619
16/09/2016,268,271.299988,265.700012,269,244.973114,689859
19/09/2016,269,270.899994,267.799988,269.5,245.428421,267333
20/09/2016,269,270.5,268,269,244.973114,284211
21/09/2016,269,269.600006,266,268,244.062408,210143
22/09/2016,268.5,271.5,268.5,270,245.883789,157727
23/09/2016,268.200012,270.5,266.899994,268,244.062408,155197
26/09/2016,267.5,269.5,264.5,268.600006,244.60881,103299
27/09/2016,268.899994,269.799988,267.200012,268.399994,244.426666,106169
28/09/2016,268,269.200012,266,267.299988,243.424911,105552
29/09/2016,269,274,269,273.399994,248.980103,303422
30/09/2016,271.200012,275,269,275,250.437164,256451
03/10/2016,274.600006,277.899994,273.100006,274,249.526505,315027
04/10/2016,279,282.899994,277.100006,278.899994,253.988815,286862
05/10/2016,278.899994,281.799988,276.5,277.700012,252.896027,358002
06/10/2016,277.200012,279.899994,273.799988,274.399994,249.890732,292520
07/10/2016,274.899994,275,263.5,265,241.330368,632736
10/10/2016,266,267.5,262.799988,265.5,241.785706,315691
11/10/2016,266,266.899994,263.799988,263.799988,240.237534,233414
12/10/2016,264.100006,264.899994,261.299988,262.5,239.05365,132326
13/10/2016,262,262.700012,259.100006,262,238.598312,247542
14/10/2016,260.600006,267.200012,260.5,267,243.151733,250734
17/10/2016,265.399994,267.799988,263.600006,265.299988,241.603561,191294
18/10/2016,266.600006,269.600006,266.5,267.799988,243.880264,270472
19/10/2016,269.5,270.799988,267.5,270,245.883789,269570
20/10/2016,270.5,271.100006,268,268,244.062408,219559
21/10/2016,267,269.299988,266.799988,269.299988,245.246292,188109
24/10/2016,269.5,272.799988,269.299988,270,245.883789,157079
25/10/2016,269.299988,270,267.200012,268.5,244.517761,216562
26/10/2016,267.600006,272.899994,265,268.299988,244.335602,197721
27/10/2016,268.299988,269.799988,267.700012,268.100006,244.153503,218243
28/10/2016,267.399994,268.100006,265.700012,267,243.151733,245172
31/10/2016,266,268.899994,265,268.700012,244.699905,293402
01/11/2016,268,269.299988,262,262.299988,238.871521,396736
02/11/2016,260.100006,260.799988,254.5,255.800003,232.952118,475323
03/11/2016,255.5,257.700012,253.800003,255.199997,232.405701,245497
04/11/2016,253.899994,254.300003,250.5,252,229.491516,643156
07/11/2016,254.899994,257.700012,252,254,231.312897,441457
08/11/2016,255.600006,260,250.300003,256,233.134247,541140
09/11/2016,245,254.100006,245,249.5,227.214828,606117
10/11/2016,251.300003,252.100006,232.800003,240.399994,218.927628,843605
11/11/2016,242,245.699997,240,245.300003,223.389969,559389
14/11/2016,246.300003,254.800003,245.399994,247.899994,225.757721,320563
15/11/2016,248.699997,252.5,247.699997,248.100006,225.93988,505601
16/11/2016,248.5,250.199997,244.800003,246.600006,224.573853,456509
17/11/2016,245.5,256.200012,245.5,255.5,232.678894,445608
18/11/2016,254,255,249,250.199997,227.852295,422703
21/11/2016,250.199997,252.5,246.699997,249,226.759491,377279
22/11/2016,250.899994,250.899994,243.600006,245,223.116745,465629
23/11/2016,245.100006,246.5,241.899994,243.199997,221.477539,422887
24/11/2016,242.600006,246.600006,242.600006,244.100006,222.29715,293235
25/11/2016,244,248,242.899994,243.199997,221.477539,277392
28/11/2016,242.399994,245.399994,239.5,239.5,218.108002,540263
29/11/2016,239,244.899994,239,243.199997,221.477539,496267
30/11/2016,241.899994,245,237.5,239.5,218.108002,8025992
01/12/2016,238.800003,239.899994,230.199997,230.5,209.91188,820063
02/12/2016,230,234,229.5,234,213.099274,439596
05/12/2016,235,241,232.899994,234.300003,213.372482,398702
06/12/2016,240.300003,244.899994,238.399994,242,220.384705,423695
07/12/2016,242.899994,244,241.600006,243.5,221.750748,267950
08/12/2016,244.199997,244.5,232.600006,233.5,212.643936,551761
09/12/2016,235,245,233.899994,242.100006,220.475784,432950
12/12/2016,241.199997,243.300003,239.600006,242.800003,221.113266,236255
13/12/2016,239,243.699997,234.600006,243.300003,221.568619,496038
14/12/2016,242.300003,243.5,238.600006,241.600006,220.020432,340209
15/12/2016,240.600006,242.5,238.100006,239.699997,218.290161,575428
16/12/2016,240,247.5,240,246,224.027466,483267
19/12/2016,245.399994,247.5,243.800003,244.300003,222.479279,366729
20/12/2016,245,249.399994,245,248.699997,226.486267,219988
21/12/2016,247.300003,262,247.300003,261,237.687653,907911
22/12/2016,260.399994,269.899994,260,265.600006,241.876801,572293
23/12/2016,264.600006,268.799988,264.399994,266.399994,242.605316,207762
27/12/2016,267.600006,267.600006,263.600006,264,240.419678,116887
28/12/2016,264,266,262.299988,265.799988,242.058914,256203
29/12/2016,264.5,268,264,267.600006,243.698135,193640
30/12/2016,267,270,267,267.600006,243.698135,234583
02/01/2017,267.600006,269.799988,267.100006,269.799988,245.701645,133709
03/01/2017,271,271.899994,267.5,268.100006,244.153503,420693
04/01/2017,268.5,268.5,260.200012,260.799988,237.505508,456942
05/01/2017,261.100006,265.399994,261.100006,265.399994,241.694641,307716
06/01/2017,265.399994,266.200012,263.200012,266,242.241043,255208
09/01/2017,262,264.5,260.299988,260.700012,237.414459,341777
10/01/2017,260.299988,260.5,255,256,233.134247,197539
11/01/2017,256.799988,259.399994,252.100006,258.899994,235.775208,241709
12/01/2017,259,260.100006,257.299988,259.399994,236.23056,152842
13/01/2017,260.700012,262.5,258.600006,262.5,239.05365,210384
16/01/2017,262,263.100006,260,262.600006,239.14473,140755
17/01/2017,262.600006,266,259.899994,266,242.241043,238784
18/01/2017,260,260.899994,257.100006,259.299988,236.139481,4073707
19/01/2017,259.100006,260.299988,258.100006,260.299988,237.050156,282117
20/01/2017,260.399994,261.100006,258.899994,260.5,237.2323,241974
23/01/2017,260.100006,261.200012,259.700012,260.399994,237.141235,192554
24/01/2017,260.399994,260.799988,258.5,259.5,236.321625,192847
25/01/2017,259.600006,259.799988,255.600006,256.100006,233.225311,284990
26/01/2017,256.899994,259.899994,256.899994,259.100006,235.957336,226765
27/01/2017,259.399994,260.600006,258,259.5,236.321625,353259
30/01/2017,259,261.700012,258.799988,260,236.776978,238011
31/01/2017,260.399994,261.399994,258.799988,260.700012,237.414459,313558
01/02/2017,261.399994,262.799988,259.700012,260.600006,237.32338,464966
02/02/2017,266,266,254.100006,254.600006,231.859299,1133926
03/02/2017,246,252,245.5,252,229.491516,29584694
06/02/2017,253.899994,258,252.300003,255.199997,232.405701,1571629
07/02/2017,255,258.899994,254,258.899994,235.775208,5727686
08/02/2017,259,259,257.299988,258.5,235.41095,1142056
09/02/2017,258.899994,261.899994,258.700012,261.899994,238.507248,720599
10/02/2017,262.299988,263,259.5,259.5,236.321625,791526
13/02/2017,260.100006,263.299988,260.100006,262,238.598312,545163
14/02/2017,261.299988,263.5,258.299988,258.5,235.41095,544232
15/02/2017,260.200012,261.399994,258.5,260.600006,237.32338,456569
16/02/2017,261.799988,262.600006,257.399994,259.5,236.321625,539664
17/02/2017,259.399994,260.399994,255.600006,257.299988,234.31813,314006
20/02/2017,257.5,257.799988,251.399994,252.800003,230.220078,388955
21/02/2017,252.800003,252.899994,251.199997,252.5,229.946869,409789
22/02/2017,253,256.399994,252,255.600006,232.769974,413315
23/02/2017,256.700012,257.200012,255.199997,256.200012,233.316391,354911
24/02/2017,256,257,251.800003,252.600006,230.037949,360086
27/02/2017,253.199997,256.100006,252.699997,255.899994,233.043167,328297
28/02/2017,256.100006,258.299988,254.800003,258.299988,235.228806,971867
01/03/2017,259.399994,259.799988,256.100006,257.399994,234.40921,571770
02/03/2017,257.600006,258.799988,256.700012,257.5,240.096939,399630
03/03/2017,252.300003,253.800003,251.100006,252.5,235.43486,469094
06/03/2017,252.399994,252.399994,250.300003,251,234.03624,229223
07/03/2017,251.600006,252.199997,249.100006,249.699997,232.824081,2408288
08/03/2017,249.800003,252.699997,249.100006,252,234.968643,325377
09/03/2017,251.899994,252.199997,250.300003,251.800003,234.782181,360479
10/03/2017,252.399994,252.800003,251.399994,252,234.968643,239540
13/03/2017,252.600006,253.300003,250.899994,253.100006,235.994293,192898
14/03/2017,252.100006,256.200012,252.100006,256,238.698303,279649
15/03/2017,256.399994,256.899994,252.899994,256.5,239.164536,374931
16/03/2017,257.899994,260.299988,257.399994,259,241.495544,558924
17/03/2017,259.899994,259.899994,255.899994,257.899994,240.469894,587460
20/03/2017,257.899994,259.700012,257.100006,258.200012,240.749634,247324
21/03/2017,259,259.399994,255.899994,257.200012,239.81723,236749
22/03/2017,255.5,257,254.800003,256.700012,239.351013,267212
23/03/2017,257.399994,260.600006,256,259,241.495544,357995
24/03/2017,259.399994,265.700012,257.600006,265,247.090042,1047029
27/03/2017,263,263,260.100006,261,243.360382,281471
28/03/2017,261,263.5,260.5,261.799988,244.106293,250435
29/03/2017,262.600006,262.600006,260.100006,261.600006,243.91983,258691
30/03/2017,262.399994,263.200012,259.700012,262.600006,244.852234,234610
31/03/2017,262.899994,268.899994,262.700012,268.899994,250.726456,599905
03/04/2017,268,270.700012,267.100006,268,249.887283,304215
04/04/2017,268.799988,268.799988,265.799988,268.100006,249.980545,272575
05/04/2017,268.700012,272.799988,268,271,252.684555,425917
06/04/2017,271.5,275,270.399994,275,256.414185,376051
07/04/2017,274.799988,275,272.399994,274,255.481781,273853
10/04/2017,273.700012,275.600006,273.200012,274.600006,256.041229,178274
11/04/2017,273.799988,275.399994,273.600006,274.700012,256.13446,209975
12/04/2017,274.700012,280.899994,273.899994,280.5,261.54245,384580
18/04/2017,273,273.5,267.200012,272,253.616959,708235
19/04/2017,272,275.100006,272,275.100006,256.507446,386972
20/04/2017,275,275.100006,266.399994,269,250.819717,519888
21/04/2017,270.5,270.5,265.899994,267,248.95488,362036
24/04/2017,270.200012,271.399994,266.200012,268.799988,250.633194,510027
25/04/2017,269,270,267.799988,268.600006,250.446732,272344
26/04/2017,268.600006,272.899994,267.5,272.899994,254.456146,385063
27/04/2017,265,269.5,264.399994,268,249.887283,752418
28/04/2017,269,269.899994,267.600006,269,250.819717,444225
01/05/2017,270,271.5,267.5,270.5,252.218338,90368
02/05/2017,271.399994,271.5,268.799988,270,251.752136,415055
03/05/2017,269.600006,271.600006,268.899994,269,250.819717,323816
04/05/2017,269,270.700012,268.700012,269.399994,251.192673,617893
05/05/2017,270,274.700012,269.799988,273.100006,254.642639,503635
08/05/2017,274.799988,276.899994,272.399994,275,256.414185,430993
09/05/2017,275.5,277.299988,274.899994,276.700012,257.999298,11698280
10/05/2017,276.600006,281.899994,276,281.700012,262.661377,800728
11/05/2017,281.5,283,280.299988,281.200012,262.19519,461581
15/05/2017,282.700012,286.899994,281.200012,283.700012,264.526245,501911
16/05/2017,284.399994,284.399994,274.799988,281.399994,262.381653,436921
17/05/2017,280.899994,280.899994,276,276,257.346588,336433
18/05/2017,275.200012,277.5,274.200012,275,256.414185,409557
19/05/2017,275.299988,278.600006,274.899994,277.899994,259.118225,205891
22/05/2017,278.799988,280.299988,278.600006,280,261.076263,214968
23/05/2017,280.299988,282.200012,277.799988,281.799988,262.754608,210527
24/05/2017,285,288.200012,279.600006,282.799988,263.687012,511728
29/05/2017,280.5,284.100006,280.5,283.899994,264.712708,313109
30/05/2017,283.299988,288.600006,283,288.399994,268.908539,441152
31/05/2017,288.5,289.600006,286,289.100006,269.561279,905786
01/06/2017,289.200012,292.399994,288.899994,292.399994,272.638214,458895
02/06/2017,293,294.299988,288,292.200012,272.451752,435220
06/06/2017,292.600006,297.100006,291.700012,296.399994,276.367889,645904
07/06/2017,302.5,307,298.200012,298.200012,278.046265,714154
08/06/2017,298.600006,299.399994,295.600006,297.200012,277.113831,290751
09/06/2017,297.399994,298.799988,292.299988,296,275.994904,464618
12/06/2017,295.600006,295.600006,292.299988,292.399994,272.638214,295625
13/06/2017,293.799988,295.200012,293,295.100006,275.155762,323609
14/06/2017,296.200012,303,296.100006,301.600006,281.216431,539352
15/06/2017,302.200012,302.799988,298.799988,301.700012,281.309692,570655
16/06/2017,302.5,307.600006,301.799988,307.600006,286.810944,1995419
19/06/2017,308,309.700012,307,308.100006,287.277161,377794
20/06/2017,308,309.399994,307.200012,307.799988,286.997437,308535
21/06/2017,307.799988,308,304.5,307.299988,286.531219,421342
22/06/2017,302.899994,306.700012,300.299988,303.100006,282.615082,457999
23/06/2017,303.100006,304.700012,299.700012,301.200012,280.843475,395660
26/06/2017,301,303.799988,301,302.700012,282.242096,220340
27/06/2017,302,302.299988,296.600006,297.200012,277.113831,230140
28/06/2017,297.899994,297.899994,292.799988,293.899994,274.036865,479846
29/06/2017,294.200012,295.5,287.399994,290.200012,270.586884,309356
30/06/2017,291.100006,294.600006,288.799988,293.899994,274.036865,370066
03/07/2017,294.299988,294.299988,289.5,291.600006,271.892303,277800
04/07/2017,291,292.200012,289.600006,290.600006,270.959869,172866
05/07/2017,290.600006,291.700012,288.700012,289.600006,270.027466,226220
06/07/2017,290.399994,292.5,289.799988,289.799988,270.213898,355218
07/07/2017,291.799988,293.299988,290.899994,293,273.197662,266465
10/07/2017,293.600006,294.700012,291.799988,293,273.197662,215235
11/07/2017,294,295.600006,292.799988,294.700012,274.782806,318112
12/07/2017,295,299.600006,294.700012,298.700012,278.512421,293438
13/07/2017,299.299988,299.299988,296.899994,298.5,278.325958,170005
14/07/2017,299.799988,299.799988,296.899994,299.200012,278.978638,185087
17/07/2017,300,300.899994,299.399994,300.5,280.190796,146491
18/07/2017,300.299988,302.399994,298.399994,299.100006,278.885376,261978
19/07/2017,301.100006,303.799988,299.299988,303.799988,283.267731,237866
20/07/2017,303.899994,307.700012,303.399994,304.600006,284.013702,381434
21/07/2017,303.899994,305.5,302.899994,304.299988,283.733917,198649
24/07/2017,306.299988,306.299988,299.600006,299.600006,279.351593,273288
25/07/2017,298.899994,302.200012,297.5,298.5,278.325958,231938
26/07/2017,299,303.100006,298.200012,302.700012,282.242096,205727
27/07/2017,303,305.100006,302.200012,304.600006,284.013702,274363
28/07/2017,304.299988,304.600006,296.299988,297.399994,277.300293,250438
31/07/2017,298.200012,303.799988,297.5,302.899994,282.428558,178364
01/08/2017,301.899994,307.100006,301.899994,306.5,285.785278,275343
02/08/2017,305.600006,308.399994,304,304.299988,283.733917,310270
03/08/2017,304.299988,305.200012,301.700012,303,282.52182,319207
04/08/2017,303.799988,306.600006,303.200012,305.5,284.852875,231928
07/08/2017,306.399994,306.399994,304.700012,305,284.386658,163383
08/08/2017,310,310,304.700012,309.299988,288.396027,551249
09/08/2017,308.700012,312.399994,307.5,312.399994,291.286499,372987
10/08/2017,315.100006,319.700012,303,313.200012,292.03244,827268
11/08/2017,310,316.100006,310,312.5,291.379761,624426
14/08/2017,315,316.399994,312.100006,315.899994,294.549957,299211
15/08/2017,316.200012,319.299988,315.100006,317.700012,296.228333,276035
16/08/2017,317.700012,321.899994,317.299988,320.299988,298.652588,349484
17/08/2017,320.299988,324.5,318.600006,320.200012,298.559387,421413
18/08/2017,320.200012,321.200012,318,321.200012,299.491791,218588
21/08/2017,321,323.600006,320,322.600006,300.79718,274683
22/08/2017,324.5,328.399994,324,328.399994,306.20517,378799
23/08/2017,328.799988,329,325.600006,327.799988,305.645691,230428
24/08/2017,327.799988,329,326.100006,327.299988,305.179504,293078
25/08/2017,327.299988,328.799988,325.399994,327.899994,305.738953,183849
28/08/2017,327.899994,331,326.799988,329.600006,307.324066,327832
29/08/2017,330.600006,331,327,329.700012,307.417328,614547
30/08/2017,331.5,337.299988,328.299988,329,306.764618,594804
31/08/2017,324.200012,328.299988,322.899994,325.200012,303.221436,10300486
01/09/2017,326.100006,326.799988,322.899994,324.399994,302.475525,490723
04/09/2017,323.200012,325.799988,323,325.200012,303.221436,317666
05/09/2017,326.600006,327.299988,324.899994,326,303.967377,260047
06/09/2017,328,329.200012,324.799988,327.399994,305.272736,555021
07/09/2017,328.899994,331.299988,326.600006,331.299988,308.90918,560292
08/09/2017,331.100006,333,328.600006,332,309.561859,331948
11/09/2017,333,333.399994,329.200012,331.399994,309.002441,476166
12/09/2017,335.5,337.600006,332.899994,334,311.426697,573987
13/09/2017,334,335.100006,330.200012,331.799988,309.375366,516271
14/09/2017,331.700012,332.200012,329.299988,330,307.697052,235627
15/09/2017,329.100006,332.200012,327.899994,332.200012,309.748352,551823
18/09/2017,333.5,335.399994,330.600006,332.100006,309.65509,436784
19/09/2017,337,341.200012,337,340.200012,317.207672,889645
20/09/2017,340.200012,342.299988,337.799988,342.299988,319.165741,440647
21/09/2017,343,343.700012,340.799988,343.700012,320.47113,395191
22/09/2017,343.700012,346.600006,342.600006,345.399994,322.056244,326060
25/09/2017,346.799988,353.899994,344.600006,352.799988,328.956085,567915
26/09/2017,354.899994,356.100006,353.399994,354.600006,330.63446,728564
27/09/2017,355.5,358.899994,352.799988,358.5,334.270874,517570
28/09/2017,359.100006,359.799988,356.5,358.700012,334.457367,845059
29/09/2017,360.700012,361.5,357.799988,360.399994,336.04245,452251
02/10/2017,358,367.899994,358,366.299988,341.543732,495958
03/10/2017,366.700012,367,361.799988,364.5,339.865326,282681
04/10/2017,364.5,367.100006,364.200012,365.299988,340.611267,412564
05/10/2017,368.299988,371.200012,366.100006,369.600006,344.620697,432854
06/10/2017,371.5,371.5,368.399994,369.100006,344.15448,349598
09/10/2017,369,377.299988,367.899994,377.299988,351.800293,428598
10/10/2017,378,379.200012,375.100006,378.799988,353.198883,459497
11/10/2017,379.200012,388,377.799988,388,361.7771,501080
12/10/2017,380,381.5,368.299988,371,345.926086,13386662
13/10/2017,373.5,374.899994,372.700012,373.5,348.25708,608177
16/10/2017,374.299988,375.100006,371.100006,371.299988,346.20575,773771
17/10/2017,372.600006,374.899994,372,372.299988,347.138184,1155220
18/10/2017,372.700012,375.100006,372.700012,374.600006,349.282776,399289
19/10/2017,376,376.700012,371.5,373,347.790894,549386
20/10/2017,374.600006,376.200012,371.5,373,347.790894,200957
23/10/2017,373,375.700012,371.200012,374.600006,349.282776,358335
24/10/2017,375.200012,375.299988,369.600006,370.700012,345.646362,237930
25/10/2017,371.100006,371.799988,364.299988,364.899994,340.238312,483883
26/10/2017,368,370.600006,362.5,366.5,341.730194,537965
27/10/2017,363,365.899994,352.799988,357.399994,333.245178,917629
30/10/2017,355.799988,360.100006,355.100006,357.799988,333.618195,410522
31/10/2017,360,364.100006,356.799988,358,333.804688,451719
01/11/2017,357.200012,365,349,360.600006,336.228943,1206144
02/11/2017,348.899994,353,334.399994,342.5,319.352234,1576290
03/11/2017,342.5,344.799988,339.899994,340.399994,317.394135,515678
06/11/2017,340.399994,342.799988,339.799988,341,317.953583,468682
07/11/2017,340.700012,343.799988,340.399994,340.399994,317.394135,568317
08/11/2017,340.399994,348.5,340.399994,347.700012,324.200775,614469
09/11/2017,348.100006,349.700012,336.600006,337,314.223938,581333
10/11/2017,340.100006,342.200012,339.200012,340.399994,317.394135,522336
13/11/2017,340.5,343.299988,337.299988,339.100006,316.182007,407022
14/11/2017,338.5,341.899994,337,337.200012,314.410431,243233
15/11/2017,335.899994,340.5,334,339.100006,316.182007,466481
16/11/2017,337.200012,343.100006,335.899994,341.899994,318.792755,595261
17/11/2017,341.899994,344.700012,339.299988,343.399994,320.191376,544143
20/11/2017,342.799988,345.700012,340.100006,340.299988,317.300903,485808
21/11/2017,340,343.5,338.299988,340,317.021179,436884
22/11/2017,340,343.700012,339.600006,342.100006,318.979248,433663
23/11/2017,339.299988,342.799988,339,341.100006,318.046844,237830
24/11/2017,341.399994,342.700012,336.600006,337.100006,314.317169,248159
27/11/2017,337.5,339.799988,337.200012,338,315.156372,218396
28/11/2017,336.799988,347.100006,336.799988,344,320.750854,763038
29/11/2017,344.899994,356.399994,344,355.700012,331.660126,829998
30/11/2017,357.399994,363.799988,352,363.799988,339.212677,1774043
01/12/2017,361.399994,362.799988,351.899994,357.799988,333.618195,635967
04/12/2017,358.700012,358.899994,348.399994,352,328.210175,475213
05/12/2017,352.600006,353.399994,348.600006,352.100006,328.303436,425624
06/12/2017,350,351.399994,345.899994,348.899994,325.319641,523177
07/12/2017,353.5,355.899994,350,350.399994,326.718262,503191
08/12/2017,353.299988,353.399994,347.100006,350.899994,327.184509,378298
11/12/2017,350.799988,350.799988,344.600006,347.5,324.014282,251902
12/12/2017,352,353.200012,345.200012,351.700012,327.93045,525852
13/12/2017,351.600006,351.600006,343.700012,344.600006,321.310303,391165
14/12/2017,351,355.700012,345.5,346.200012,322.802155,693791
15/12/2017,346.299988,349.899994,344.899994,346.799988,323.361633,711706
18/12/2017,349.399994,350.299988,347,348.899994,325.319641,413819
19/12/2017,349.5,350.799988,346.5,348.200012,324.666992,276140
20/12/2017,349,350,344.100006,344.700012,321.403564,390493
21/12/2017,344,346.299988,339.399994,340.5,317.487396,274475
22/12/2017,339.700012,343.5,338.899994,339.799988,316.834686,444707
27/12/2017,341.5,346.799988,341.399994,344,320.750854,354083
28/12/2017,345.100006,345.799988,335.299988,336.5,313.75769,454412
29/12/2017,336.5,339.399994,335.299988,338.700012,315.809052,277235
02/01/2018,335.600006,338.600006,335.600006,338,315.156372,389557
03/01/2018,336.799988,339.700012,332.299988,333.799988,311.240234,437981
04/01/2018,333.600006,341.5,333.600006,341.100006,318.046844,433740
05/01/2018,341.5,342.899994,339.899994,340.799988,317.76712,275979
