Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,1546,1547,1491.5,1516,1098.466553,9153230
05/01/2016,1555,1560,1510.5,1526,1105.71228,7015234
06/01/2016,1525.5,1528.48999,1475.5,1497.5,1085.062012,7207889
07/01/2016,1449.5,1467,1408.5,1454.5,1053.904663,12961501
08/01/2016,1453.5,1456.5,1374.5,1375,996.300293,14597957
11/01/2016,1368.5,1391,1348,1354,981.084106,14085300
12/01/2016,1349,1394.5,1338,1351,978.910461,10755613
13/01/2016,1364.5,1396.5,1338,1346,975.28772,16629247
14/01/2016,1337.5,1405,1326,1391.5,1008.25592,14169880
15/01/2016,1387.5,1395.5,1341.5,1351,978.910461,14441637
18/01/2016,1346,1373.5,1335.515015,1338.5,969.853027,7876434
19/01/2016,1363.5,1389,1346.030029,1365,989.054626,10928535
20/01/2016,1327.5,1328.39502,1260.5,1266,917.320801,16535139
21/01/2016,1272,1319,1256,1316.5,953.912476,12344131
22/01/2016,1364.5,1401,1358,1387,1004.995544,11204126
25/01/2016,1409,1411.5,1366.015015,1398.5,1013.328369,10494291
26/01/2016,1368.5,1428.5,1349,1422.5,1030.718018,10574819
27/01/2016,1416,1463,1382.5,1463,1060.063721,15843362
28/01/2016,1469.5,1540.5,1466,1495,1083.250244,16887901
29/01/2016,1517,1526,1470,1518,1099.915894,11897039
01/02/2016,1526,1531,1471,1494.5,1082.888184,11114785
02/02/2016,1483.5,1484.5,1413.5,1433.5,1038.688477,9288592
03/02/2016,1432,1454,1408,1438,1041.949097,7397641
04/02/2016,1493.5,1545,1480,1525.5,1105.349976,15319072
05/02/2016,1528.5,1563.5,1520,1535,1112.233887,11273256
08/02/2016,1547,1554,1493.030029,1522,1102.814087,8659809
09/02/2016,1536.5,1545.5,1461,1461,1058.61438,12005997
10/02/2016,1462,1488,1440,1454.5,1053.904663,11520022
11/02/2016,1442.5,1458.5,1405.5,1441.5,1044.485107,14494279
12/02/2016,1465.5,1527.026001,1463,1525.5,1105.349976,18515611
15/02/2016,1545,1559,1516,1542,1117.305664,7810201
16/02/2016,1570.5,1606,1547.5,1567,1135.420288,11633002
17/02/2016,1569.5,1642,1555,1642,1189.763794,13447709
18/02/2016,1626,1630,1584.5,1589,1174.814453,14352370
19/02/2016,1587.5,1603,1554.5,1563,1155.591431,8108868
22/02/2016,1584,1637,1581.5,1617,1195.516113,6256084
23/02/2016,1611.5,1617,1576,1576,1165.202881,11393753
24/02/2016,1565,1568,1531,1545,1142.283081,19857383
25/02/2016,1575.5,1618,1567.5,1588,1174.075073,10630238
26/02/2016,1613.5,1650.51001,1607.5,1641.5,1213.629883,9320305
29/02/2016,1628,1658,1619.5,1647.5,1218.06604,8083037
01/03/2016,1641.5,1657.5,1634.5,1645.5,1216.586914,9750139
02/03/2016,1660,1662,1622,1657,1225.0896,8008519
03/03/2016,1660.5,1670,1642.5,1665,1231.004395,7949945
04/03/2016,1674,1683,1655,1677.5,1240.246216,8641748
07/03/2016,1673.5,1692,1634.5,1674,1237.658447,6896078
08/03/2016,1680.5,1688.5,1639.98999,1659,1226.568359,7308829
09/03/2016,1655.5,1694.5,1647.5,1689.5,1249.118042,5689294
10/03/2016,1694,1694,1636.5,1638.5,1211.411865,9727757
11/03/2016,1676.5,1682,1654.5,1669,1233.961548,5113664
14/03/2016,1673.5,1689.171021,1647,1666.5,1232.113281,4895556
15/03/2016,1660.5,1665.5,1637.5,1657.5,1225.459351,4884275
16/03/2016,1671,1711,1671,1703.5,1259.46936,4509188
17/03/2016,1723,1750.25,1700.5,1730,1279.061646,5046876
18/03/2016,1732.5,1736.5,1697.5,1697.5,1255.032837,8137951
21/03/2016,1691.5,1706,1680,1697.5,1255.032837,4264160
22/03/2016,1699,1705,1673.5,1702,1258.360107,5653412
23/03/2016,1705,1710,1682.5,1696,1253.92395,5129886
