Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,4.198227,4.23216,4.129419,4.163352,3.293655,105707993
05/01/2016,4.194457,4.216136,4.095486,4.127534,3.265319,70566794
06/01/2016,4.108682,4.136017,3.94656,3.994631,3.160179,77857997
07/01/2016,3.881522,3.940904,3.82968,3.912627,3.095305,103288812
08/01/2016,3.939962,3.964469,3.807059,3.807059,3.01179,101179222
11/01/2016,3.783494,3.957871,3.780666,3.844762,3.041617,106593962
12/01/2016,3.864556,3.998401,3.824967,3.893775,3.080391,95278203
13/01/2016,3.932421,4.006884,3.877752,3.908857,3.092323,99429367
14/01/2016,3.865498,3.920168,3.784437,3.873039,3.063987,81809999
15/01/2016,3.864556,3.876809,3.737308,3.768413,2.981216,140207844
18/01/2016,3.771241,3.797633,3.666615,3.721284,2.943933,100848618
19/01/2016,3.808001,3.821197,3.688294,3.69772,2.925291,118391159
20/01/2016,3.647763,3.647763,3.487526,3.519573,2.784357,276500556
21/01/2016,3.54408,3.67227,3.496952,3.627027,2.869365,248448960
22/01/2016,3.732595,3.842876,3.678868,3.788207,2.996876,248550740
25/01/2016,3.798575,3.808001,3.611946,3.633625,2.874585,816749365
26/01/2016,3.56953,3.761815,3.53654,3.760872,2.97525,282232435
27/01/2016,3.760872,3.788207,3.662845,3.753332,2.969286,87935228
28/01/2016,3.716571,3.777839,3.575185,3.618544,2.862654,100395252
29/01/2016,3.685466,3.713744,3.616658,3.709031,2.934239,156790381
01/02/2016,3.691122,3.713744,3.556334,3.587439,2.874573,270063935
02/02/2016,3.587439,3.591209,3.393268,3.402694,2.726538,364431555
03/02/2016,3.403637,3.411177,3.1925,3.264136,2.615514,218392628
04/02/2016,3.336714,3.495066,3.272619,3.44888,2.763547,233909876
05/02/2016,3.472445,3.611946,3.402694,3.533712,2.831522,245125981
08/02/2016,3.566702,3.574243,3.299011,3.314092,2.655543,169389923
09/02/2016,3.330116,3.421546,3.145371,3.185902,2.552826,175264309
10/02/2016,3.256595,3.429086,3.195328,3.34991,2.684244,159657873
11/02/2016,3.299011,3.299011,3.119922,3.119922,2.499957,176454218
12/02/2016,3.176476,3.282987,3.141601,3.282044,2.629863,119883773
15/02/2016,3.393268,3.433799,3.341427,3.401751,2.725784,123910883
16/02/2016,3.430971,3.458306,3.312207,3.396096,2.721252,192523741
17/02/2016,3.426258,3.547851,3.375359,3.541253,2.837565,127543088
18/02/2016,3.576128,3.586496,3.371589,3.406464,2.72956,132658300
19/02/2016,3.406464,3.455478,3.242456,3.298068,2.642703,136267242
22/02/2016,3.372532,3.463019,3.337656,3.463019,2.774876,75510841
23/02/2016,3.430971,3.529942,3.389498,3.403637,2.727294,78740403
24/02/2016,3.393268,3.414948,3.226433,3.241514,2.597387,146413241
25/02/2016,3.308437,3.373474,3.28393,3.322575,2.662341,67133515
26/02/2016,3.375359,3.493181,3.364991,3.47433,2.78394,75151314
29/02/2016,3.433799,3.537482,3.384785,3.537482,2.834543,57619417
01/03/2016,3.534655,3.614773,3.484698,3.611003,2.893454,118026508
02/03/2016,3.628912,3.826853,3.628912,3.814599,3.056593,102822409
03/03/2016,3.827795,3.85513,3.7637,3.814599,3.056593,141672907
04/03/2016,3.8589,3.906971,3.802346,3.885292,3.113239,107053421
07/03/2016,3.870211,3.919225,3.786322,3.867383,3.098888,96521468
08/03/2016,3.865498,3.980492,3.813657,3.905086,3.1291,97155402
09/03/2016,3.905086,3.967296,3.85136,3.874924,3.104931,69039249
10/03/2016,3.86267,4.147328,3.826853,3.916397,3.138163,151755882
11/03/2016,4.006884,4.201055,3.986148,4.196342,3.362479,165410786
14/03/2016,4.236873,4.306623,4.212366,4.254782,3.409307,113807264
15/03/2016,4.223677,4.241586,4.062496,4.066267,3.258252,136695191
16/03/2016,4.079463,4.11151,3.942789,3.970124,3.181214,119634779
17/03/2016,4.043645,4.066267,3.846647,4.000286,3.205382,111928833
18/03/2016,4.004999,4.088888,3.92111,4.036104,3.234083,159599205
21/03/2016,3.990861,4.090774,3.959756,3.991803,3.198585,132292843
