Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,15.6,16.16,15.325,16.014999,13.121425,2514478
05/01/2016,16.495001,16.5,15.92,16.219999,13.289386,1896971
06/01/2016,16.209999,16.215,15.545,15.915,13.039494,1973745
07/01/2016,15.45,15.89,15.205,15.85,12.986238,3295059
08/01/2016,15.95,16,15.31,15.345,12.572482,2375137
11/01/2016,15.21,15.625,15.05,15.125,12.39223,2441897
12/01/2016,15.13,15.57,15.075,15.425,12.638027,2341673
13/01/2016,15.66,15.77,15.165,15.33,12.560191,1466902
14/01/2016,15.3,15.3,14.585,14.675,12.023536,2914727
15/01/2016,14.675,14.715,13.69,13.825,11.327113,3709213
18/01/2016,13.695,14.175,13.455,13.885,11.376272,2545391
19/01/2016,14.22,15.15,14.075,14.995,12.285718,3785289
20/01/2016,14.5,14.76,14.145,14.295,11.712193,3957772
21/01/2016,13.81,14.16,13.325,13.78,11.290242,5345826
22/01/2016,14.2,15.15,14.02,15.085,12.359457,5762050
25/01/2016,15.235,15.25,14.21,15.02,12.306203,3555363
26/01/2016,14.675,14.985,14.45,14.86,12.175111,3640690
27/01/2016,14.895,15.2,14.72,15.09,12.363553,1937374
28/01/2016,15,15.19,14.325,14.4,11.798222,3646675
29/01/2016,16.495001,17.655001,16,17.110001,14.018583,17010671
01/02/2016,17.23,17.49,16.334999,16.889999,13.838332,6623756
02/02/2016,16.775,16.870001,16.41,16.57,13.576148,3548513
03/02/2016,16.615,17.049999,16.379999,16.98,13.91207,3863069
04/02/2016,17.219999,17.299999,16.57,16.934999,13.875201,8457062
05/02/2016,16.879999,17.08,16.74,16.84,13.797365,3395944
08/02/2016,16.67,16.815001,15.54,15.665,12.834662,3987338
09/02/2016,15.74,16.950001,15.25,16.535,13.547472,13173788
10/02/2016,16.655001,16.785,15.96,16.07,13.166488,6773220
11/02/2016,15.76,15.97,15.275,15.475,12.678992,3084912
12/02/2016,15.68,15.78,15.31,15.665,12.834662,2038774
15/02/2016,16.215,16.57,15.9,16.485001,13.506506,2631486
16/02/2016,16.535,16.610001,15.85,15.92,13.04359,2678417
17/02/2016,15.965,16.530001,15.92,16.370001,13.412286,7383456
18/02/2016,16.5,16.58,15.95,16.030001,13.133716,2952605
19/02/2016,15.88,16.125,15.7,15.83,12.969851,3243669
22/02/2016,16.1,16.385,15.97,16.299999,13.354931,2114309
23/02/2016,16.129999,16.59,16.129999,16.17,13.24842,2653838
24/02/2016,16.280001,16.280001,15.45,15.81,12.953465,2771997
25/02/2016,16.15,16.225,15.575,16.075001,13.170587,1733098
26/02/2016,16.9,17.285,16.799999,17.01,13.936651,5088535
29/02/2016,16.834999,17.465,16.799999,17.450001,14.297152,9675837
01/03/2016,17.415001,17.99,17.415001,17.99,14.739585,3105175
