Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,200.490005,201.029999,198.589996,201.020004,182.513626,222353500
05/01/2016,201.399994,201.899994,200.050003,201.360001,182.822327,110845800
06/01/2016,198.339996,200.059998,197.600006,198.820007,180.516174,152112600
07/01/2016,195.330002,197.440002,193.589996,194.050003,176.185333,213436100
08/01/2016,195.190002,195.850006,191.580002,191.919998,174.251419,209817200
11/01/2016,193.009995,193.410004,189.820007,192.110001,174.42395,187941300
12/01/2016,193.820007,194.550003,191.139999,193.660004,175.831238,172330500
13/01/2016,194.449997,194.860001,188.380005,188.830002,171.445892,221168900
14/01/2016,189.550003,193.259995,187.660004,191.929993,174.260468,240795600
15/01/2016,186.770004,188.759995,185.520004,187.809998,170.519791,324846400
19/01/2016,189.960007,190.110001,186.199997,188.059998,170.746765,195244400
20/01/2016,185.029999,187.5,181.020004,185.649994,168.55864,286547800
21/01/2016,186.210007,188.869995,184.639999,186.690002,169.502914,195772900
22/01/2016,189.779999,190.759995,188.880005,190.520004,172.980286,168319600
25/01/2016,189.919998,190.149994,187.410004,187.639999,170.365448,130371700
26/01/2016,188.419998,190.529999,188.020004,190.199997,172.689743,141036800
27/01/2016,189.580002,191.559998,187.059998,188.130005,170.810318,185681700
28/01/2016,189.960007,190.199997,187.160004,189.110001,171.700104,143798800
29/01/2016,190.020004,193.880005,189.880005,193.720001,175.885727,210529300
01/02/2016,192.529999,194.580002,191.839996,193.649994,175.822144,136061600
02/02/2016,191.960007,191.970001,189.539993,190.160004,172.653442,182564900
03/02/2016,191.410004,191.779999,187.100006,191.300003,173.688477,205054900
04/02/2016,190.710007,192.75,189.960007,191.600006,173.960876,139531800
05/02/2016,190.990005,191.669998,187.199997,187.949997,170.646927,180788300
08/02/2016,185.770004,186.119995,182.800003,185.419998,168.349808,191526700
09/02/2016,183.360001,186.940002,183.199997,185.429993,168.358871,184513100
10/02/2016,186.410004,188.339996,185.119995,185.270004,168.213638,148214100
11/02/2016,182.339996,184.100006,181.089996,182.860001,166.025482,219058900
12/02/2016,184.960007,186.649994,183.960007,186.630005,169.448425,127632400
16/02/2016,188.770004,189.809998,187.630005,189.779999,172.308426,120250700
17/02/2016,191.160004,193.320007,191.009995,192.880005,175.123047,136009500
18/02/2016,193.199997,193.270004,191.720001,192.089996,174.405762,102343000
19/02/2016,191.169998,192.179993,190.449997,192,174.324066,114793000
22/02/2016,193.869995,194.949997,193.789993,194.779999,176.848099,103640300
23/02/2016,194,194.320007,192.179993,192.320007,174.614578,111455300
24/02/2016,190.630005,193.529999,189.320007,193.199997,175.413559,150812200
25/02/2016,193.729996,195.550003,192.830002,195.539993,177.538147,110728300
26/02/2016,196.570007,196.679993,194.899994,195.089996,177.129562,129833700
29/02/2016,195.110001,196.229996,193.330002,193.559998,175.740417,125918100
01/03/2016,195.009995,198.210007,194.449997,198.110001,179.871582,141799700
02/03/2016,197.740005,199.059998,197.25,199,180.679596,102415000
03/03/2016,198.789993,199.800003,198.110001,199.779999,181.387802,95172200
04/03/2016,200.009995,201.350006,199.029999,200.429993,181.977966,129293600
07/03/2016,199.339996,201.070007,199.25,200.589996,182.123245,100219000
08/03/2016,199.320007,199.919998,198.210007,198.399994,180.134842,123974900
09/03/2016,199.360001,199.789993,198.429993,199.380005,181.024643,94801200
10/03/2016,199.960007,201.070007,197.380005,199.539993,181.169907,156838700
11/03/2016,201.259995,202.809998,199.520004,202.759995,184.09346,137964500
14/03/2016,202.160004,203.039993,201.770004,202.5,183.857391,73612000
15/03/2016,201.360001,202.529999,201.050003,202.169998,183.55777,93169100
16/03/2016,201.600006,203.820007,201.550003,203.339996,184.620056,129303200
17/03/2016,203.240005,205.229996,202.770004,204.630005,185.79129,134278500
18/03/2016,204.169998,204.779999,203.800003,204.380005,186.521408,138372400
21/03/2016,204.070007,204.940002,203.800003,204.669998,186.786087,72926700
22/03/2016,203.759995,205.229996,203.570007,204.559998,186.685638,97471900
23/03/2016,204.110001,204.330002,203.009995,203.210007,185.453659,81052500
24/03/2016,202,203.160004,201.740005,203.119995,185.371506,84360900
28/03/2016,203.610001,203.860001,202.710007,203.240005,185.481003,62408200
29/03/2016,202.759995,205.25,202.399994,205.119995,187.196747,92922900
30/03/2016,206.300003,206.869995,205.589996,206.020004,188.018112,86365300
31/03/2016,205.910004,206.410004,205.330002,205.520004,187.561813,94584100
01/04/2016,204.350006,207.139999,203.979996,206.919998,188.839432,114423500
04/04/2016,206.830002,207.070007,205.889999,206.25,188.227966,63497000
05/04/2016,204.669998,206.259995,203.889999,204.190002,186.348007,99662200
06/04/2016,204.190002,206.490005,203.979996,206.419998,188.383148,91839800
