Date,Open,High,Low,Close,Adj Close,Volume
04/01/2016,19.200001,19.24,18.83,19.059999,13.629322,9678574
05/01/2016,19.25,19.32,18.92,19.209999,13.736583,5979544
06/01/2016,19.200001,19.280001,18.84,19.030001,13.607871,6968895
07/01/2016,18.379999,18.530001,18.02,18.48,13.214581,13749789
08/01/2016,18.41,18.5,17.459999,17.459999,12.485204,18349220
11/01/2016,17.43,17.889999,17.309999,17.530001,12.535259,13948508
12/01/2016,17.48,17.82,17.41,17.57,12.563861,11855265
13/01/2016,17.799999,18.01,17.58,17.66,12.628218,10472553
14/01/2016,17.5,17.51,16.940001,17.389999,12.435147,13038692
15/01/2016,17.299999,17.42,16.639999,16.709999,11.948897,15064649
18/01/2016,16.690001,16.99,16.629999,16.75,11.977501,10221560
19/01/2016,17.040001,17.4,16.98,17.040001,12.184872,9404336
20/01/2016,16.790001,16.809999,16.27,16.360001,11.698621,14298089
21/01/2016,16.43,16.629999,16.209999,16.469999,11.777278,13472486
22/01/2016,16.780001,16.98,16.709999,16.83,12.034706,9990417
25/01/2016,16.92,16.940001,16.42,16.530001,11.820184,8674361
26/01/2016,16.209999,16.59,16.01,16.57,11.848785,10262728
27/01/2016,16.610001,16.73,16.370001,16.67,11.920294,9228832
28/01/2016,16.67,16.950001,16.389999,16.549999,11.834484,13501328
29/01/2016,16.74,16.959999,16.66,16.83,12.034706,15963146
01/02/2016,16.92,17,16.459999,16.68,11.927445,12709960
02/02/2016,16,16.01,15.21,15.54,11.112259,46916396
03/02/2016,15.8,15.8,15.14,15.44,11.040752,23870539
04/02/2016,15.55,15.63,14.84,15.34,10.969245,29018069
05/02/2016,15.4,15.47,15.16,15.21,10.876285,17479199
08/02/2016,15.35,15.35,14.45,14.55,10.404336,20027687
09/02/2016,14.36,14.41,13.58,13.73,9.817975,31943376
10/02/2016,13.95,14.81,13.77,14.47,10.347129,28751906
11/02/2016,14.01,14.21,13.51,13.8,9.868031,31313443
12/02/2016,14.05,14.5,14.05,14.5,10.368582,24040056
15/02/2016,15.33,15.37,14.73,14.8,10.583105,17738022
16/02/2016,14.96,14.96,14.37,14.67,10.490145,16081972
17/02/2016,14.51,15.19,14.46,15.15,10.83338,11738821
18/02/2016,15.35,15.43,14.84,14.88,10.64031,16898054
19/02/2016,14.75,15.07,14.59,14.79,10.575954,18066371
22/02/2016,15,15.3,14.93,15.23,10.890586,10821812
23/02/2016,15.07,15.32,14.83,14.85,10.618859,11214102
24/02/2016,14.79,14.88,14.32,14.85,10.618859,12780449
25/02/2016,14.84,15.13,14.8,14.99,10.718968,14392682
26/02/2016,15.2,15.36,15.08,15.31,10.947793,10267011
29/02/2016,15.11,15.34,15.01,15.34,10.969245,11001923
01/03/2016,15.29,15.75,15.21,15.71,11.233822,14286611
02/03/2016,15.8,16.219999,15.78,16.209999,11.59136,16741190
03/03/2016,16.18,16.35,16.07,16.32,11.670018,14911872
04/03/2016,16.290001,16.48,16.08,16.469999,11.777278,12694520
07/03/2016,16.299999,16.559999,16.200001,16.549999,11.834484,13401175
08/03/2016,16.360001,16.459999,16.209999,16.25,11.619964,20327040
09/03/2016,16.23,16.690001,16.18,16.33,11.677169,15970303
10/03/2016,16.290001,16.799999,16.049999,16.049999,11.476947,21017692
11/03/2016,16.280001,16.629999,16.26,16.58,11.855937,17868118
14/03/2016,16.66,16.780001,16.549999,16.68,11.927445,14053207
15/03/2016,16.530001,16.620001,16.370001,16.57,11.848785,14372730
16/03/2016,16.59,16.639999,15.59,15.78,11.283877,21693442
17/03/2016,15.89,16,15.51,15.95,11.40544,15193758
18/03/2016,16.139999,16.24,15.91,16.200001,11.58421,29429574
21/03/2016,16.16,16.49,16.110001,16.389999,11.720072,14866578
22/03/2016,16.33,16.379999,15.94,16.370001,11.705773,11464531
23/03/2016,16.33,16.43,15.95,16.059999,11.484097,15747550
24/03/2016,15.95,15.95,15.64,15.8,11.29818,12083878
29/03/2016,15.9,16.02,15.58,15.64,11.183768,10449494
30/03/2016,15.71,15.85,15.66,15.81,11.30533,11508359
31/03/2016,15.7,15.76,15.35,15.49,11.076506,18372426
01/04/2016,15.3,15.54,15.05,15.12,10.811928,14423214
04/04/2016,15.05,15.12,14.84,14.91,10.661762,14459079
05/04/2016,14.75,14.76,14.37,14.43,10.318526,18962561
06/04/2016,14.4,14.63,14.25,14.57,10.418636,16129403
07/04/2016,14.61,14.64,14.3,14.42,10.311376,20064385
08/04/2016,14.47,14.77,14.47,14.58,10.425789,20859717
11/04/2016,14.6,14.86,14.51,14.57,10.418636,11718364
12/04/2016,14.6,14.73,14.43,14.68,10.497296,12128471
13/04/2016,14.89,15.42,14.88,15.36,10.983546,18931153
14/04/2016,15.5,15.58,15.23,15.53,11.105108,14320510
